Relational Databases for Querying XML Documents: Limitations and Opportunities,Shanmugasundaram Jayavel; Tufte Kristin; He Gang; Zhang Chun; DeWitt David; Naughton Jeffrey,*,Proceedings of the 25th VLDB Conference; Edinburgh; Scotland,1999,1644
Tracking entities in the dynamic world: A fast algorithm for matching temporal records,Yueh-Hsuan Chiang; AnHai Doan; Jeffrey F Naughton,Abstract Identifying records referring to the same real world entity over time enableslongitudinal data analysis. However; difficulties arise from the dynamic nature of the world:the entities described by a temporal data set often evolve their states over time. While thestate of the art approach to temporal entity matching achieves high accuracy; this approachis computationally expensive and cannot handle large data sets. In this paper; we presentan approach that achieves equivalent matching accuracy but takes far less time. Our keyinsight is" static first; dynamic second." Our approach first runs an evidence-collection pass;grouping records without considering the possibility of entity evolution; as if the world were"static." Then; it merges clusters from the initial grouping by determining whether an entitymight evolve from the state described in one cluster to the state described in another …,Proceedings of the VLDB Endowment,2014,15
An overview of Quill: A passive operational data logging system for Condor,Jiansheng Huang; Ameet Kini; Erik Paulson; Christine Reilly; Eric Robinson; Srinath Shankar; Lakshmikant Shrinivas; David DeWitt; Jeffrey Naughton,*,Computer Sciences Technical Report; University of Wisconsin,2007,15
Transaction reordering and grouping for continuous data loading,Gang Luo; Jeffrey F Naughton; Curt J Ellmann; Michael W Watzke,Abstract With the increasing popularity of operational data warehousing; the ability to loaddata quickly and continuously into an RDBMS is becoming more and more important.However; in the presence of materialized join views; loading data concurrently into multiplebase relations of the same materialized join view can cause a severe deadlock problem. Tosolve this problem; we propose reordering the data to be loaded so that at any time; for anymaterialized join view; data is only loaded into one of its base relations. Also; for loadtransactions on the relations that contain “aggregate” attributes; we propose using pre-aggregation to reduce the number of SQL statements in the load transactions. Theadvantages of our methods are demonstrated through experiments with a commercialparallel RDBMS.,International Workshop on Business Intelligence for the Real-Time Enterprise,2006,15
The impact of data placement on memory management for multi-server OODBMS,Shivakumar Venkataraman; Miron Livny; Jeffrey F Naughton,We demonstrate the close relationship between data placement and memory managementfor symmetric multi-server OODBMS. We propose and investigate memory managementalgorithms for two data placement strategies; namely declustering and clustering. Through adetailed simulation; we show that by declustering the data most of the benefits of complexglobal memory management algorithms are realized by simple algorithms. In contrast weshow that when data is clustered; the simple algorithms perform poorly.,Data Engineering; 1995. Proceedings of the Eleventh International Conference on,1995,15
Dynamic memory hybrid hash join,D DeWitt; J Naughton,*,Computer Sciences Department; Technical Report; University of Wisconsin-Madison,1995,15
Concurrent real-time checkpoint for parallel programs,Kai Li; J Naughton; James Plank,*,Proceedings of the 2nd ACM SIGPLAN Symposium on Princiles & Practice of Parallel Programming,1990,15
Locking mechanism using a predefined lock for materialized views in a database system,*,A database system includes a locking mechanism for a materialized view defined on baserelations. In response to updates of a base relation; a predefined lock (eg; Y lock or IY lock)is placed on the materialized view. With the locking mechanism; transaction concurrency isenhanced by enabling concurrent updates of a materialized view by plural transactions incertain cases.,*,2006,14
Optimizing function-free recursive inference rules,Jeffrey F Naughton,Abstract Recursive inference rules arise in recursive definitions in logic programmingsystems and in database systems with recursive query languages. Let D be a recursivedefinition of a relation t. We say that D is minimal if for any predicate p in a recursive rule inD; p must appear in a recursive rule in any definition of t. We show that testing for minimalityis in general undecidable. However; we do present an efficient algorithm for a useful class ofrecursive rules; and show how to use it to transform a recursive definition to a minimalrecursive definition. Evaluating the optimized definition will avoid redundant computationwithout the overhead of caching intermediate results and run-time checking for duplicategoals.,*,1986,14
Redundancy in Function-Free Recursive Rules.,Jeffrey F Naughton,*,SLP,1986,14
Partial results in database systems,Willis Lang; Rimma V Nehme; Eric Robinson; Jeffrey F Naughton,Abstract As the size and complexity of analytic data processing systems continue to grow;the effort required to mitigate faults and performance skew has also risen. However; in someenvironments we have encountered; users prefer to continue query execution even in thepresence of failures (eg; the unavailability of certain data sources); and receive a" partial"answer to their query. We explore ways to characterize and classify these partial results; anddescribe an analytical framework that allows the system to perform coarse to fine-grainedanalysis to determine the semantics of a partial result. We propose that if the system isequipped with such a framework; in some cases it is better to return and explain partialresults than to attempt to avoid them.,Proceedings of the 2014 ACM SIGMOD international conference on Management of data,2014,13
Locking mechanism for views associated with B-tree indexes,*,A database system includes a locking mechanism for a view defined on one or more baserelations. A B-tree index is defined on the view. In response to updates of a base relation;predefined locks are placed on the view. With locking mechanisms according to someembodiments of the invention; concurrency of transactions that access the view and B-treeindex is enhanced by enabling concurrent updates of the materialized view by pluraltransactions in certain cases; while avoiding read-write and write-read conflicts.,*,2007,13
Set containment join operation in an object/relational database management system,*,A novel partition-based set containment join algorithm; known as Set Partitioning Algorithm(SPA); is performed by a relational database management system to aggressively partitionset-valued attributes into a very large number of partitions; in order to minimize the impact ofexcessive replication and improve performance.,*,2004,13
Remote load-sensitive caching for multi-server database systems,Shivakumar Venkataraman; Jeffrey F Naughton; Miron Livny,The recent dramatic improvements in the performance of commodity hardware has madeclusters of workstations or PCs an attractive and economical platform upon which to buildscalable database servers. These clusters have large aggregate memory capacities;however; since this global memory is distributed; good algorithms are necessary for memorymanagement; or this large aggregate memory will go underutilized. The goal of the study isto develop and evaluate buffer management algorithms for database clusters. We propose anew buffer management algorithm; remote load sensitive caching (RLS caching); that usesnovel techniques to combine data placement with a simple modification of standard clientserver page replacement algorithms to approximate a global LRU page replacement policy.Through an implementation in the SHORE database system; we evaluate the …,Data Engineering; 1998. Proceedings.; 14th International Conference on,1998,13
On the Performance of an Array-Based ADT for OLAP Workloads,Yihong Zhao; Kristin Tufte; Jeffrey F Naughton,Abstract There is currently a debate among OLAP vendors on the best way to provide OLAPfunctionality: Relational OLAP (ROLAP) vendors advocate using sophisticated front ends toprovide a multidimensional view of a standard relational database; whereasMultidimensional OLAP (MOLAP) vendors provide custom servers that generally store theirdata as arrays (instead of tables.) An important question in this debate is the relativeperformance of arrays vs. tables for common OLAP operations. To shed some light on thisquestion; we have implemented a MOLAP Abstract Data Type (ADT); which uses amultidimensional array as its principle storage mechanism; within the Paradise object-relational DBMS. Using this implementation; we have studied MOLAP and ROLAPperformance on the same DBMS platform (by using either the MOLAP ADT or standard …,*,1996,13
Processing aggregates in parallel database systems,Ambuj Shatdal; Jeffrey F Naughton,Abstract Aggregates are rife in real life SQL queries. However; in the parallel queryprocessing literature aggregate processing has received surprisingly little attention;furthermore; the way current parallel database systems do aggregate processing is far fromoptimal in many scenarios. We describe two hashing based algorithms for parallelevaluation of aggregates. A performance analysis via an analytical model and animplementation on the Intel Paragon multi-computer shows that each works well for someaggregation selectivities but poorly for the remaining. Fortunately; where one does poorlythe other does well and vice-versa. Thus; the two together cover all possible selectivities. Weshow how; using sampling; an optimizer can decide which of the two algorithms to use for aparticular query. Finally; we investigate the impact of data skew on the performance of …,*,1994,13
On load shedding in complex event processing,Yeye He; Siddharth Barman; Jeffrey F Naughton,Abstract: Complex Event Processing (CEP) is a stream processing model that focuses ondetecting event patterns in continuous event streams. While the CEP model has gainedpopularity in the research communities and commercial technologies; the problem ofgracefully degrading performance under heavy load in the presence of resource constraints;or load shedding; has been largely overlooked. CEP is similar to" classical" stream datamanagement; but addresses a substantially different class of queries. This unfortunatelyrenders the load shedding algorithms developed for stream data processing inapplicable. Inthis paper we study CEP load shedding under various resource constraints. We formalizebroad classes of CEP load-shedding scenarios as different optimization problems. Wedemonstrate an array of complexity results that reveal the hardness of these problems …,arXiv preprint arXiv:1312.4283,2013,12
Argument reduction by factoring,Jeffrey F Naughton; R Ramakrishnana; Yehoshua Sagiv; Jeffrey D Ullman,Abstract We identify a useful property of a program with respect to a predicate;calledfactoring. While we prove that detecting factorability is undecidable in general; weshow that for a large class of programs; the program obtained by applying the Magic Setstransformation is factorable with respect to the recursive predicate. When the factoringproperty holds; a simple optimization of the program generated by the Magic Setstransformation results in a new program that is never less efficient than the Magic Setsprogram and is often dramatically more efficient; due to the reduction of the arity of therecursive predicate. We show that the concept of factoring generalizes some previouslyidentified special cases of recursions; including separable recursions and right-and left-linear recursions.,Theoretical Computer Science,1995,12
Parsets for parallelizing OODBMS traversals: Implementation and performance,David J De Witt; Jeffrey F Naughton; John C Shafer; Shivakumar Venkataraman,Describes the design and implementation of ParSets; a means of exploiting parallelism inthe SHORE persistent object store. We used ParSets to create and parallelize the graphtraversals of the OO7 OODBMS benchmark; and present speedup and scaleup results fromparallel SHORE running these traversals on a cluster of commodity workstations connectedby a standard Ethernet. For some OO7 traversals; SHORE achieved excellent speedup andscaleup; for other OO7 traversals; only marginal speedup and scaleup occurred. Thecharacteristics of these traversals shed light on when the ParSet approach to parallelism canand cannot be applied to speed up an application.,Parallel and Distributed Information Systems; 1994.; Proceedings of the Third International Conference on,1994,12
On the expected size of recursive Datalog queries,S Seshadri; Jeffrey F Naughton,Abstract We present asymptotically exact expressions for the expected sizes of relationsdefined by two well-studied Datalog recursions; namely the “same generation” and“canonical factorable recursion”. We consider the size of the fixpoints of the recursivelydefined relations in the above programs; as well as the size of the fixpoints of the relationsdefined by the rewritten programs generated by the Magic Sets and Factoring rewritingalgorithms in response to selection queries. Our results show that even over relativelysparse base relations; the recursively defined relations are within a small constant factor oftheir worst-case size bounds; and that the Magic Sets rewriting algorithm on the averageproduces relations within a small constant factor of the corresponding bounds for therecursion without rewriting. The expected size of relations produced by the Factoring …,Proceedings of the tenth ACM SIGACT-SIGMOD-SIGART symposium on Principles of database systems,1991,12
Sampling-based query re-optimization,Wentao Wu; Jeffrey F Naughton; Harneet Singh,Abstract Despite of decades of work; query optimizers still make mistakes on" difficult"queries because of bad cardinality estimates; often due to the interaction of multiplepredicates and correlations in the data. In this paper; we propose a low-cost post-processingstep that can take a plan produced by the optimizer; detect when it is likely to have madesuch a mistake; and take steps to fix it. Specifically; our solution is a sampling-based iterativeprocedure that requires almost no changes to the original query optimizer or queryevaluation mechanism of the system. We show that this indeed imposes low overhead andcatches cases where three widely used optimizers (PostgreSQL and two commercialsystems) make large errors.,Proceedings of the 2016 International Conference on Management of Data,2016,11
Utility-maximizing event stream suppression,Di Wang; Yeye He; Elke Rundensteiner; Jeffrey F Naughton,Abstract Complex Event Processing (CEP) has emerged as a technology for monitoringevent streams in search of user specified event patterns. When a CEP system is deployed insensitive environments the user may wish to mitigate leaks of private information whileensuring that useful nonsensitive patterns are still reported. In this paper we consider how tosuppress events in a stream to reduce the disclosure of sensitive patterns while maximizingthe detection of nonsensitive patterns. We first formally define the problem of utility-maximizing event suppression with privacy preferences; and analyze its computationalhardness. We then design a suite of real-time solutions to solve this problem. Our firstsolution optimally solves the problem at the event-type level. The second solution; at theevent-instance level; further optimizes the event-type level solution by exploiting runtime …,Proceedings of the 2013 ACM SIGMOD International Conference on Management of Data,2013,11
On Transactional Memory; Spinlocks; and Database Transactions.,Khai Q Tran; Spyros Blanas; Jeffrey F Naughton,ABSTRACT Currently; hardware trends include a move toward multicore processors; cheapand persistent variants of memory; and even sophisticated hardware support for mutualexclusion in the form of transactional memory. These trends; coupled with a growing desirefor extremely high performance on short database transactions; raise the question ofwhether the hardware primitives developed for mutual exclusion can be exploited to rundatabase transactions. In this paper; we present a preliminary exploration of this question.We conduct a set of experiments on both a hardware prototype and a simulator of a multi-core processor with Transactional Memory (TM.) Our results show that TM is attractive underlow contention workloads; while spinlocks can tolerate high contention workloads well; andthat in some cases these approaches can beat a simple implementation of a traditional …,ADMS@ VLDB,2010,11
Differentially private stochastic gradient descent for in-RDBMS analytics,Xi Wu; Arun Kumar; Kamalika Chaudhuri; Somesh Jha; Jeffrey F Naughton,Abstract: In-RDBMS data analysis has received considerable attention in the past decadeand has been widely used in sensitive domains to extract patterns in data using machinelearning. For these domains; there has also been growing concern about privacy; anddifferential privacy has emerged as the gold standard for private data analysis. However;while differentially private machine learning and in-RDBMS data analytics have beenstudied separately; little previous work has explored private learning in an in-RDBMSsystem. This work considers a specific algorithm---stochastic gradient descent (SGD) fordifferentially private machine learning---and explores how to integrate it into an RDBMSsystem. We find that previous solutions on differentially private SGD have characteristics thatrender them unattractive for an RDBMS implementation. To address this; we propose an …,arXiv preprint arXiv:1606.04722,2016,10
Distribution-based query scheduling,Yun Chi; Hakan Hacígümüş; Wang-Pin Hsiung; Jeffrey F Naughton,Abstract Query scheduling; a fundamental problem in database management systems; hasrecently received a renewed attention; perhaps in part due to the rise of the" database as aservice"(DaaS) model for database deployment. While there has been a great deal of workinvestigating different scheduling algorithms; there has been comparatively little workinvestigating what the scheduling algorithms can or should know about the queries to bescheduled. In this work; we investigate the efficacy of using histograms describing thedistribution of likely query execution times as input to the query scheduler. We propose anovel distribution-based scheduling algorithm; Shepherd; and show that Shepherdsubstantially outperforms state-of-the-art point-based methods through extensiveexperimentation with both synthetic and TPC workloads.,Proceedings of the VLDB Endowment,2013,10
Database support for matching: limitations and opportunities,Ameet Kini; Srinath Shankar; Jeffrey F Naughton; David J Dewitt,Abstract We define a match join of R and S with predicate θ to be a subset of the θ-join of Rand S such that each tuple of R and S contributes to at most one result tuple. Match joinsand their generalizations belong to a broad class of matching problems that have attracted agreat deal of attention in disciplines including operations research and theoretical computerscience. Instances of these problems arise in practice in resource allocation scenarios. Tothe best of our knowledge no one uses an RDBMS as a tool to help solve these problems;our goal in this paper is to explore whether or not this needs to be the case. We show thatthe simple approach of computing the full θ-join and then applying standard graph-matchingalgorithms to the result is ineffective for all but the smallest of problem instances. By contrast;a closer study shows that the DBMS primitives of grouping; sorting; and joining can be …,Proceedings of the 2006 ACM SIGMOD international conference on Management of data,2006,10
Synopses for query optimization: A space-complexity perspective,Raghav Kaushik; Jeffrey F Naughton; Raghu Ramakrishnan; Venkatesan T Chakravarthy,Abstract Database systems use precomputed synopses of data to estimate the cost ofalternative plans during query optimization. A number of alternative synopsis structures havebeen proposed; but histograms are by far the most commonly used. While histograms haveproved to be very effective in (cost estimation for) single-table selections; queries with joinshave long been seen as a challenge; under a model where histograms are maintained forindividual tables; a celebrated result of Ioannidis and Christodoulakis [1991] observes thaterrors propagate exponentially with the number of joins in a query. In this article; we maketwo main contributions. First; we study the space complexity of using synopses for queryoptimization from a novel information-theoretic perspective. In particular; we offer evidencein support of histograms for single-table selections; including an analysis over data …,ACM Transactions on Database Systems (TODS),2005,10
Spatial join method and apparatus,*,A non-blocking parallel spatial join algorithm generates the spatial join result tuplescontinuously even in the event of memory overflow. The algorithm employs duplicateavoidance techniques to avoid the blocking and time-consuming removal of duplicates. Thealgorithm also uses parallelism to improve performance.,*,2004,10
Building XML statistics for the hidden web,Ashraf Aboulnaga; Jeffrey F Naughton,Abstract There have been several techniques proposed for building statistics for static XMLdata. However; very little work has been done in the area of building XML statistics for datasources that export XML views of data that is stored in relational or other databases. Forsuch data sources; we need statistics that are built in an on-line manner; by observing theXML queries to the data sources and their results. In this paper; we present a technique forbuilding on-line XML statistics by observing the XPath queries issued to a data source andtheir result sizes. These XPath queries select parts of the virtual XML document representingthe XML view of the data at the data source. We convert these XPath queries to a moreabstract and generalized form that we call annotated path expressions. We present atechnique for storing these annotated path expressions and information about their …,Proceedings of the twelfth international conference on Information and knowledge management,2003,10
A simple characterization of uniform boundedness for a class of recursions,Jeffrey F Naughton; Yehoshua Sagiv,Abstract Detecting bounded recursions is a powerful optimization technique for recursivedatabase query languages; as bounded recursions can be replaced by equivalentnonrecursive definitions. The problem is also of theoretical interest in that varying the classof recursions considered generates problem instances that vary from linearly decidable toNP-hard to undecidable. In this paper we review and clarify the existing definitions ofboundedness. We then specify a class of recursions C such that membership in Cguarantees that a certain simple condition is necessary and sufficient for boundedness. Weuse the notion of membership in C to unify and extend previous work on determiningdecidable classes of bounded recursions.,The Journal of logic programming,1991,10
Falcon: Scaling up hands-off crowdsourced entity matching to build cloud services,Sanjib Das; Paul Suganthan GC; AnHai Doan; Jeffrey F Naughton; Ganesh Krishnan; Rohit Deep; Esteban Arcaute; Vijay Raghavendra; Youngchoon Park,Abstract Many works have applied crowdsourcing to entity matching (EM). While promising;these approaches are limited in that they often require a developer to be in the loop. Assuch; it is difficult for an organization to deploy multiple crowdsourced EM solutions;because there are simply not enough developers. To address this problem; a recent workhas proposed Corleone; a solution that crowdsources the entire EM workflow; requiring nodevelopers. While promising; Corleone is severely limited in that it does not scale to largetables. We propose Falcon; a solution that scales up the hands-off crowdsourced EMapproach of Corleone; using RDBMS-style query execution and optimization over a Hadoopcluster. Specifically; we define a set of operators and develop efficient implementations. Wetranslate a hands-off crowdsourced EM workflow into a plan consisting of these operators …,Proceedings of the 2017 ACM International Conference on Management of Data,2017,9
Rescheduling table scan transactions,*,A database system includes a rescheduler that performs rescheduling of transactions in ascheduling queue based on one or more criteria. One criterion is whether a first transactionin the queue can be performed as a synchronized scan of a table with a second transactionthat is currently executing. This enables the first and second transactions to share a segmentof a buffer storage pool.,*,2008,9
Locking mechanism for materialized views in a database system,*,A database system receives a transaction that causes a tuple to be integrated into a joinview. In response to receiving the transaction; a predefined first lock is placed on at least aportion of the join view; the predefined first lock conflicting with either a shared lock or anexclusive lock placed on the join view; but not conflicting with another predefined first lockplaced on the join view. Also; a latch or semaphore associated with a value of apredetermined attribute of the tuple is obtained before integrating the tuple into the join view.,*,2008,9
YAWN,Katherine Morris; Jeffrey F Naughton; Yatin P Saraiya; Jeffrey D Ullman; Allen Van Gelder,*,Yet another window on Nail,1987,9
Resource bricolage for parallel database systems,Jiexing Li; Jeffrey Naughton; Rimma V Nehme,Abstract Running parallel database systems in an environment with heterogeneousresources has become increasingly common; due to cluster evolution and increasinginterest in moving applications into public clouds. For database systems running in aheterogeneous cluster; the default uniform data partitioning strategy may overload some ofthe slow machines while at the same time it may under-utilize the more powerful machines.Since the processing time of a parallel query is determined by the slowest machine; such anallocation strategy may result in a significant query performance degradation. We take a firststep to address this problem by introducing a technique we call resource bricolage thatimproves database performance in heterogeneous environments. Our approach quantifiesthe performance differences among machines with various resources as they process …,Proceedings of the VLDB Endowment,2014,8
Toward industrial-strength keyword search systems over relational data,Akanksha Baid; Ian Rae; AnHai Doan; Jeffrey F Naughton,Keyword search (KWS) over relational data; where the answers are multiple tuplesconnected via joins; has received significant attention in the past decade. Numeroussolutions have been proposed and many prototypes have been developed. Building on thisrapid progress and on growing user needs; recently several RDBMS and Web companiesas well as academic research groups have started to examine how to build industrial-strength keywords search systems. This task clearly requires addressing many issues;including robustness; accuracy; reliability; and privacy; among others. A major emergingissue; however; appears to be performance related: current KWS systems haveunpredictable run time. In particular; for certain queries it takes too long to produce answers;and for others the system may even fail to return (eg; after exhausting memory). In this …,Data Engineering (ICDE); 2010 IEEE 26th International Conference on,2010,8
The Niagara query system,J Naughton; D DeWitt; D Maier; J Chen; L Galanis; K Tufte; J Kang; Q Luo; N Prakash; F Tian,*,The IEEE Data Eng. Bull,2000,8
Space optimization in the bottom-up evaluation of logic programs,S Sudarshan; Divesh Srivastava; Raghu Ramakrishnan; Jeffrey F Naughton,Abstract In the bottom-up evaluation of a logic program; all generated facts are usuallyassumed to be stored until the end of the evaluation. Considerable gains can be achievedby instead discarding facts that are no longer required: the space needed to evaluate theprogram is reduced; 1/0 costs may be reduced; and the costs of maintaining and accessingindices; eliminating duplicates etc. are reduced. Thus; discarding facts early could achievetime as well as space improvements. Given an evaluation method that is sound; completeand does not repeat derivation steps; we consider how facts can be discarded during theevaluation without compromising these properties. Our first contribution is to show that sucha space optimization technique has three distinct components. Informally; we must make allderivations that we can with each fact; detect all duplicate derivations of facts and try to …,ACM SIGMOD Record,1991,8
Minimizing expansions of recursions,Jeffrey F Naughton; Yehoshua Sagiv,This chapter discusses the language of function-free horn clauses; which is popularly knownas Datalog because it is the subset of Prolog that obeys the first-normal form assumptions ofrelational databases. Datalog has none of the extra-logical features present in Prolog; suchas the cut operator or a built-in procedural interpretation. However; Prolog notation is usedand the horn clauses are written as rules; with the positive literal in the head or consequent;and the conjunction of the negative literals as the body or antecedent. The terms predicateand relation are used interchangeably; and it is assumed that the relations in the system canbe separated into two types. The extensional database predicates appear in the head of norule and are defined completely by their extent; that is; by the tuples stored in the relationscorresponding to the predicate. The intensional database predicates are defined in terms …,*,1989,8
Operator and query progress estimation in microsoft sql server live query statistics,Kukjin Lee; Arnd Christian König; Vivek Narasayya; Bolin Ding; Surajit Chaudhuri; Brent Ellwein; Alexey Eksarevskiy; Manbeen Kohli; Jacob Wyant; Praneeta Prakash; Rimma Nehme; Jiexing Li; Jeff Naughton,Abstract We describe the design and implementation of the new Live Query Statistics (LQS)feature in Microsoft SQL Server 2016. The functionality includes the display of overall queryprogress as well as progress of individual operators in the query execution plan. Wedescribe the overall functionality of LQS; give usage examples and detail all areas where wehad to extend the current state-of-the-art to build the complete LQS feature. Finally; weevaluate the effect these extensions have on progress estimation accuracy with a series ofexperiments using a large set of synthetic and real workloads.,Proceedings of the 2016 International Conference on Management of Data,2016,7
Revisiting differentially private regression: Lessons from learning theory and their consequences,Xi Wu; Matthew Fredrikson; Wentao Wu; Somesh Jha; Jeffrey F Naughton,Abstract: Private regression has received attention from both database and securitycommunities. Recent work by Fredrikson et al.(USENIX Security 2014) analyzed thefunctional mechanism (Zhang et al. VLDB 2012) for training linear regression models overmedical data. Unfortunately; they found that model accuracy is already unacceptable withdifferential privacy when $\varepsilon= 5$. We address this issue; presenting an explicitconnection between differential privacy and stable learning theory through which asubstantially better privacy/utility tradeoff can be obtained. Perhaps more importantly; ourtheory reveals that the most basic mechanism in differential privacy; output perturbation; canbe used to obtain a better tradeoff for all convex-Lipschitz-bounded learning tasks. Sinceoutput perturbation is simple to implement; it means that our approach is potentially …,arXiv preprint arXiv:1512.06388,2015,7
Demonstration of Santoku: optimizing machine learning over normalized data,Arun Kumar; Mona Jalal; Boqun Yan; Jeffrey Naughton; Jignesh M Patel,Abstract Advanced analytics is a booming area in the data management industry and a hotresearch topic. Almost all toolkits that implement machine learning (ML) algorithms assumethat the input is a single table; but most relational datasets are not stored as single tablesdue to normalization. Thus; analysts often join tables to obtain a denormalized table. Also;analysts typically ignore any functional dependencies among features because ML toolkitsdo not support them. In both cases; time is wasted in learning over data with redundancy.We demonstrate Santoku; a toolkit to help analysts improve the performance of ML overnormalized data. Santoku applies the idea of factorized learning and automatically decideswhether to denormalize or push ML computations through joins. Santoku also exploitsdatabase dependencies to provide automatic insights that could help analysts with …,Proceedings of the VLDB Endowment,2015,7
Toward Progress Indicators on Steroids for Big Data Systems.,Jiexing Li; Rimma V Nehme; Jeffrey F Naughton,*,CIDR,2013,7
Issues in applying data mining to grid job failure detection and diagnosis,Lakshmikant Shrinivas; Jeffrey F Naughton,Abstract As grid computation systems become larger and more complex; manuallydiagnosing failures in jobs becomes impractical. Recently; machine-learning techniqueshave been proposed to detect a variety of application failures in grids. While this is apromising approach; there are many options as to how to apply machine learning to thisproblem; and it not always obvious which approaches are feasible or effective. We exploresome issues that arise when we try to apply existing implementations of data miningalgorithms to diagnose as well as predict job failures in grids. We demonstrate that a) it isfeasible to gather enough data in real-time to train useful classifier algorithms; using only asmall fraction of the grid's computational resources; b) it is important to choose the featuresused for classification with care; and c) it is useful to have both per-user and system-wide …,Proceedings of the 17th international symposium on High performance distributed computing,2008,7
Space optimization in deductive databases,Divesh Srivastava; S Sudarshan; Raghu Ramakrishnan; Jeffrey F Naughton,Abstract In the bottom-up evaluation of logic programs and recursively defined views ondatabases; all generated facts are usually assumed to be stored until the end of theevaluation. Discarding facts during the evaluation; however; can considerably improve theefficiency of the evaluation: the space needed to evaluate the program; the I/O costs; thecosts of maintaining and accessing indices; and the cost of eliminating duplicates may all bereduced. Given an evaluation method that is sound; complete; and does not repeatderivation steps; we consider how facts can be discarded during the evaluation withoutcompromising these properties. We show that every such space optimization method hascertain components; the first to ensure soundness and completeness; the second to avoidredundancy (ie; repetition of derivations); and the third to reduce “fact lifetimes”(ie; the …,ACM Transactions on Database Systems (TODS),1995,7
How to Forget the Past Without Repeating It.,Jeffrey F Naughton; Raghu Ramakrishnan,Abstract Bottom-up evaluation of deductive database programs has the advantage that itavoids repeated computation by storing all intermediate results and replacing recomputationby table lookup. However; in general; storing all intermediate results for the duration of acomputation wastes space. In this paper we propose an evaluation scheme that avoidsrecomputation; yet under fairly general conditions at any given time stores only a smallsubset of the facts generated. The results constitute a significant first step in compile-timegarbage collection for bottom-up evaluation of deductive database programs.,VLDB,1990,7
On Debugging Non-Answers in Keyword Search Systems.,Akanksha Baid; Wentao Wu; Chong Sun; AnHai Doan; Jeffrey F Naughton,ABSTRACT Handling non-answers is desirable in information retrieval systems. Current e-commerce websites usually try to suppress the somewhat dreaded message that no resultshave been found. Possible solutions include; for example; augmenting the data withsynonyms and common misspellings based on query logs. Nonetheless; this is onlyachievable if we can know the cause of the non-answers. Under the hood; most e-commercedata sits in some structured format. Debugging non-answers in the underlying KWS-Ssystems is therefore not trivial—non-answers in a KWS-S system could be a problem of thedata (eg; absence of some keywords); the schema (eg; missing key-foreign-key joins); ordue to empty join results from one of possibly several joins in the generated SQL queries. Sofar; we are unaware of any previous work that explores how to enable developers to …,EDBT,2015,6
JECB: A join-extension; code-based approach to OLTP data partitioning,Khai Q Tran; Jeffrey F Naughton; Bruhathi Sundarmurthy; Dimitris Tsirogiannis,Abstract Scaling complex transactional workloads in parallel and distributed systems is achallenging problem. When transactions span data partitions that reside in different nodes;significant overheads emerge that limit the throughput of these systems. In this paper; wepresent a low-overhead data partitioning approach; termed JECB; that can reduce thenumber of distributed transactions in complex database workloads such as TPC-E. Theproposed approach analyzes the transaction source code of the given workload and thedatabase schema to find a good partitioning solution. JECB leverages partitioning by key-foreign key relationships to automatically identify the best way to partition tables usingattributes from tables. We experimentally compare our approach with the state of the art data-partitioning techniques and show that over the benchmarks considered; JECB provides …,Proceedings of the 2014 ACM SIGMOD International Conference on Management of Data,2014,6
Transaction reordering with application to synchronized scans,Gang Luo; Jeffrey F Naughton; Curt J Ellmann; Michael W Watzke,Abstract Traditional workload management methods mainly focus on the current systemstatus while information about the interaction between queued and running transactions islargely ignored. An exception to this is the transaction reordering method; which reorders thetransaction sequence submitted to the RDBMS and improves the transaction throughput byconsidering both the current system status and information about the interaction betweenqueued and running transactions. The existing transaction reordering method onlyconsiders the reordering opportunities provided by analyzing the lock conflict informationamong multiple transactions. This significantly limits the applicability of the transactionreordering method. In this paper; we extend the existing transaction reordering method intoa general transaction reordering framework that can incorporate various factors as the …,Proceedings of the ACM 11th international workshop on Data warehousing and OLAP,2008,6
XML views as integrity constraints and their use in query translation,Rajasekar Krishnamurthy; Raghav Kaushik; Jeffrey F Naughton,The SQL queries produced in XML-to-SQL query translation are often unnecessarilycomplex; even for simple input XML queries. In this paper we argue that relational systemscan do a better job of XML-to-SQL query translation with the addition of a simple newconstraint; which we term the" lossless from XML" constraint. Intuitively; this constraint statesthat a given relational data set resulted from the shredding of an XML document thatconformed to a given schema. We illustrate the power of this approach by giving analgorithm that exploits the" lossless from XML" constraint to translate path expressionqueries into efficient SQL; even in the presence of recursive XML schemas. We argue thatthis approach is likely to be simpler and more effective than the current state of the art inoptimizing XML-to-SQL query translation; which involves identifying and declaring …,Data Engineering; 2005. ICDE 2005. Proceedings. 21st International Conference on,2005,6
Unraveling the duplicate-elimination problem in XML-to-SQL query translation,Rajasekar Krishnamurthy; Raghav Kaushik; Jeffrey F Naughton,Abstract We consider the scenario where existing relational data is exported as XML. In thiscontext; we look at the problem of translating XML queries into SQL. XML query languageshave two different notions of duplicates: node-identity based and value-based. Pathexpression queries have an implicit node-identity based duplicate elimination built intothem. On the other hand; SQL only supports value-based duplicate elimination. In this paper;using a simple path expression query we illustrate the problems that arise when we attemptto simulate the node-identity based duplicate elimination using value-based duplicateelimination in the SQL queries. We show how a general solution for this problem coveringthe class of views considered in published literature requires a fairly complex mechanism.,Proceedings of the 7th International Workshop on the Web and Databases: colocated with ACM SIGMOD/PODS 2004,2004,6
