Nanotechnology platforms and physiological challenges for cancer therapeutics,Kelly Y Kim,*,Nanomedicine: Nanotechnology; Biology and Medicine,2007,272
Increased Apoptotic Activity of Human Trophoblasts in Pregnancy-Induced Hypertension: Assessment by the Caspase-related M30 CytoDeath Antibody,Ho Jin Kim; Hyesook Park; Young Ju Kim; Bohyun Park; Hwayoung Lee,Abstract Pregnancy-induced hypertension (PIH) is a multi-system disorder unique to humanpregnancy. Although the etiology of PIH is still unknown; there is a large evidencesuggesting that abnormal trophoblast invasion is occurring in early pregnancy and that thismay contribute to relative placental hypoxia and oxidative stress that may further exacerbateplacental pathology. This study was undertaken to determine placental Cu/Zn superoxidedismutase (SOD) and Mn SOD activities and evaluate the use of M30 CytoDeath antibody toassess trophoblasts apoptotic activity in normal and PIH pregnancies. We also comparedapoptotic rates as detected by M30 and TdT-mediated dUTP nickend labelling (TUNEL).Placental expression of Cu/Zn SOD and Mn SOD were reduced in PIH as compared tonormal pregnancies. M30 immunoreactivity occurred predominantly in the …,The Korean Journal of Anatomy,2004,1
The computational analysis for design factor derivation of radio carbon gas bag,KK Jung; JH Jee; SJ Ha; DW Kang; CS Lee,Computational analysis on fluid flow in Helium (He) bag of Carbon dioxide (CO 2) removalsystem was performed for derivation of design factors. The changes of inlet/outlet intervalhave influence on CO 2 decay efficiency because of relation with the formed recirculationzone. As inlet/outlet diameter decreases; CO 2 decay efficiency is getting worse. The moreeffective implementation of Helium bag design is available through computational study ongeometric change using specific gravity difference and recirculation zone,*,2004,1
An experimental study on injection molding of etched surface pattern,Chung Huang Jing,Abstract Molding properties of etched surface pattern are presented. Injection molding hasgiven attention on improving dimensional accuracy and productivity. However; the moldingof etched surface pattern on plastic parts is not researched relatively for its additional values;which can meet design function and customer's attraction. Specimens; whose surfacepatterns are made by print-type etching; are investigated. The molding properties of surfacepattern are estimated with roughness deviation of surface pattern on part and mold. Theetching properties are related to physical properties of plastic materials and surfaceroughness of etched pattern. Also; flow mark and gate location can give influence on surfacepattern molding. The experimental result can contribute to good molding of surface pattern ininjection molding.,Journal of the Korean Society for Precision Engineering,2003,1
Evaluation of marginal fidelity of copy-milled and CAD/CAM all ceramic crowns,Seung-Mi Jeong; Dong-Wan Kang; Christoph Wolf,Purpose. This study was to evaluate the fitting accuracy of machined all-ceramic crownsmade out of an industrially prefabricated feldspathic porcelain. Material and Methods. Threemaster models with different cutting depth (0.8 mm/1.0 mm/1.2 mm) were produced using apalladium-silver alloy. A total of 36 working dies; 12 of each form; was used for themodellation of prototype resin copings and 36 additional crowns; 12 of each cutting depth;were produced by using the CEREC  2 system for all crowns. The maginal fit of all 72crowns was then evaluated on their respective master die at 54 circularly staggered points ofmeasurement per crown under a fixation pressure of 30 N by using a computerized videoimage system. Results. The medians of the copy-milled CELAY  crowns ranged from 29 to36μm. The highest value for the marginal gap was found in group B (cutting depth 1.0 mm …,The Journal of Korean Academy of Prosthodontics,2001,1
Pushover Tests of 1: 5 Scale 3-Story Reinforced Concrete Frames,Han-Seon Lee; Sung-Woo Woo; Yun-Sup Heo; Jin—Gyu Song,ABSTRACT The objective of the research stated herein is to observe the elastic and inelasticbehaviors and ultimate capacity of li-5 scale 3--story reinforced concrete frame. Pushovertests were performed to l '-5 scale Bcstory reinforced concrete frames with and withoutinfilled masonry. To simulate the earthquake effect. the lateral force distribution wasmaintained by an inverted triangle by using the whifﬂe tree. From the test results. the relationships between the total lateral load and the roof drift; the distribution of column shears; therelation between story shear and story drift; and the angular rotations at the critical portionsof structures were obtained. The effects of infilled masonry were investigated with regards tothe stiffness. strength; and ductility of structures. Final collapse modes of structures with andWithout infilled masonry were compared.,Journal of the Korea Concrete institute,1999,1
Analysis of genetic characteristics by biochemical genetic markers in Korean native chicken,이학교， 정호영， 정행기， 오홍균， 전병순， 유충현， 전기준， 김경남， 이광원， 한재용， 정의룡,본 연구는 축산기술연구소 대전 지소에서 보존하고 있는 한국재래닭 3 계통 (적갈색; 황갈색 및흑갈색) 230 수를 대상으로 생화학적 유전 표지인자로서 혈액 단백질 (transferrin; albumin;post-albumin 및 hemoglobin) 및 효소 (amylase-Ⅰ; esterase; catalase 및 alkalinephosphatase) 9 개 좌위의 생화학적 다형현상을 starch; agarose 및 polyacrylamide gel전기영동법을 이용하여 분석하고 각 다형좌위별 대립유전자 빈도를 추정하여 집단의 유전적구조 및 특성을 파악하고 유전적 변이성을 정량화했으며 동시에 개량종 및 동아시아재래계와의 유전적 근연관계를 분석하였다. 생화학적 다형좌위가운데 Tf; Pas 및 Alb 좌위의대립유전자빈도는 개량종과 유사했으나 Cat 와 ES-좌위는 유전자빈도에 현저한 차이가인정되었다. 그리고 Amy-1 좌위는 New Hampshire 와 Rhode Island Red 종과 각각 매우유사한 대립유전자빈도를 나타냈으나 나머지 개량품종들과는 출현빈도에 많은 차이가 존재 …,한국가금학회지,1996,1
pH; Alkaline Earth Metal Ion Effects and Miscibility with Hexadecanol on the Monolayer of Palmitic Acid at the Air-Water Interface,Chung Jong-Jae; Seo Byung-Il; Ju Min-Young,Abstract-A isotherms of the Palmitic acid (PA) with increasing pH shifted to the lowarea/molecule due to the dissociation of PA at the air-water interface. More condensation ofPA monolayers occurred by the addition of Mg; Ca and Ba ion in subphase. This condensingeffect was increased with increasing the concentration of these ions. Due to the interactionwith each ion; PA were formed Mg; Ca; Ba-Palmitate complex. The binding structurebetween alkaline earth ion and carboxylate ligand in PA has been identified by IRspectrometry. The order of condensing effect of alkaline earth ions at pH 8 was Ca> Ba+>Mg. The condensing effect except for Mg decreased with increasing atomic number.Whereas; the condensing effect in pure water system decreased with decreasing atomicnumber in the sequence: Ba> Ca> Mg. The miscibility of binary system of PA and …,Journal of the Korean Chemical Society,1993,1
Time-dependent behavior of D-dimensional ideal quantum gases,Suhk Kun Oh,The time-dependent behavior of D-dimensional ideal quantum gases is studied within theMori formalism and its extension by Lee. In the classical limit; the time-dependent behavioris found to be independent of the dimensionality D of the system and is characterized by anextremely damped Gaussian relaxation function. However; at T= 0K; it depends on theparticular statistics adopted for the system and also on the dimensionality of the system. Forthe ideal Bose gas at T= 0 K; complete Bose condensation is manifested by collapse of thedimensionality of a Hilbert space; spanned by basis vectors fsub (ν); from infinity to two. Onthe other hand; the dimensional effect for the ideal Fermi gas is exhibited by a change inHilbert space structure; which is determined by the recurrants Δsub (ν) and the basis vectorsfsub (ν) More specifically; the structural form of the recurrants is modified such that the …,Journal of the Korean Physical Society,1985,1
Whitening efficacy of ginsenoside F1 through inhibition of melanin transfer in cocultured human melanocytes–keratinocytes and three-dimensional human skin equi...,Chang-Seok Lee; Gibaeg Nam; Il-Hong Bae; Junseong Park,GF1 suppresses dendrite formation of melanocytes; resulting in inhibition of 20 melanosometransfer into keratinocytes in human cell co-cultures and 3D-human skin 21 equivalent. Ourresults suggested that GF1 is a potent ginsenoside possessing potential as a 22depigmentary agent for pigmentary disorders and a cosmetic ingredient for lightening of skin23 color. 24,Journal of Ginseng Research,2018,*
THE EFFECT OF DIETRY ANTIOXIDANT VITAMINS ON LUNG FUNCTION ACCORDING TO GENDER AND SMOKING STATUS: KNHANES 2007-2014,Myung Goo Lee; Chang Youl Lee; Ji Young Hong,*,RESPIROLOGY,2017,*
CUT-OFF VALUE OF FEV1/FEV6 TO DETERMINE AIRFLOW LIMITATION USING HANDHELD SPIROMETRY,Yong Il Hwang; Ki-Suck Jung; Chang Youl Lee; Ji Young Hong; Myung-Goo Lee; Seung Hun Jang,*,RESPIROLOGY,2017,*
Identification of 10 Candidate Biomarkers Distinguishing Tuberculous and Malignant Pleural Fluid by Proteomic Methods,Chang Youl Lee; Ji Young Hong; Myung-Goo Lee; In-Bum Suh,Purpose Pleural effusion; an accumulation of fluid in the pleural space; usually occurs inpatients when the rate of fluid formation exceeds the rate of fluid removal. The differentialdiagnosis of tuberculous pleurisy and malignant pleural effusion is a difficult task in hightuberculous prevalence areas. The aim of the present study was to identify novel biomarkersfor the diagnosis of pleural fluid using proteomics technology. Materials and Methods Weused samples from five patients with transudative pleural effusions for internal standard; fivepatients with tuberculous pleurisy; and the same numbers of patients having malignanteffusions were enrolled in the study. We analyzed the proteins in pleural fluid from patientsusing a technique that combined two-dimensional liquid-phase electrophoresis and matrixassisted laser desorption/ionization-time of flight-mass spectrometry. Results We …,Yonsei medical journal,2017,*
Calpain and Spectrin Breakdown Products (SBDP) as Potential Biomarkers in Tuberculous Pleural Effusion,Ji Young Hong; Myung Goo Lee; Chang Youl Lee,PURPOSE: Early diagnosis of tuberculous pleural effusion remains difficult. Calpain is afamily of calcium-dependent endopeptidase that plays an important role in ECM remodelingand collagen synthesis. The aim of this study was to explore the diagnostic value of pleuralfluid angiotensin-converting enzyme (ACE); Calpain-1; Spectrin breakdown products(SBDP) and matrix metalloproteinase-1 (MMP-1) measurement in tuberculous pleuraleffusion (TPE) and malignant pleural effusion (MP). METHODS: The study included 47patients with TP; 28 patients with MP and 10 patients with transudate of non-tuberculous andnon-malignant origin as controls. Calpain; ACE; SBDP and MMP-1 levels in pleural fluidwere measured by ELISA method. RESULTS: ACE level; Calpain-1 level; SBDP level andMMP-1 level were higher in TPE than MPE and transudate (all; P value< 0.05). By logistic …,Chest,2017,*
Comparison of prebronchodilator FEV1/FEV6 of handheld spirometry with postbronchodilator FEV1/FVC of spirometry in Korea: a pilot study,Chang Youl Lee; Ji Young Hong; Myung-Goo Lee; Seung Hun Jang; Yong Il Hwang,We explored a new active case-finding strategy for COPD using handheld spirometry. Werecruited subjects over 40 years of age with a smoking history of more than 10 pack-yearswho visited a primary clinic or a tertiary referral hospital complaining of respiratorysymptoms. A total of 290 of subjects were enrolled. Medical information was obtained fromhistorical records and physical examination by general practitioners. All subjects had theirpulmonary function evaluated using handheld spirometry with a COPD-6 device. Becauseforced expiratory volume in 6seconds (FEV6) has been suggested as an alternative to FVC;we measured forced expiratory volume in 1second (FEV1)/FEV6 for diagnosis of airflowlimitation. All subjects who visited a primary clinic were then referred to tertiary referralhospitals to complete handheld spiromtery; and conventional spirometry. The results of …,*,2017,*
Do TRPV1 antagonists increase the risk for skin tumourigenesis? A collaborative in vitro and in vivo assessment,Miyoung Park; Anita A Naidoo; Angie Burns; Jin Kyu Choi; Kelly M Gatfield; Martin Vidgeon-Hart; Il-Hong Bae; Chang Seok Lee; Gyeyoung Choi; Andrew J Powell; Young-Ho Park; Rajni Fagg,Abstract A recent hypothesis suggesting that the pharmacological target TRPV1 (transientreceptor potential vanilloid subfamily; member 1) may function as a tumour suppressor;which potentially impacts the development of TRPV1 antagonist therapeutics for a range ofconditions. However; little is known about the long-term physiologic effects of TRPV1blockade in the skin. In vitro and in vivo studies suggested that the potent TRPV1competitive antagonist AMG-9810 promoted proliferation in N/TERT1 cells (telomerase-immortalised primary human keratinocytes 1) and tumour development in mouse skin thatwas mediated through EGFR/Akt/mTOR signalling. We attempted to reproduce the reportedin vitro and in vivo findings to further explore this hypothesis to understand the underlyingmechanism and the risk associated with TRPV1 antagonism in the skin. In vitro …,Cell biology and toxicology,2017,*
AP736 induces miR‐125b expression for the efficient whitening and anti‐ageing action in human epidermal cells,Heung Soo Baek; Jung‐Ah Hwang; Il‐Hong Bae; Kyu‐Han Kim; Yung Hyup Joo; Yong Jin Kim; Hong‐Ju Shin; John Hwan Lee; Young‐Ho Park; Jin Woong Kim; Chang Seok Lee,1 Background AP736; a recently developed whitening compound; is a benzylbenzamidederivative that strongly inhibits melanin synthesis by inhibiting tyrosinase expression andactivity; and suppressing the expression of tyrosinase-related protein (Tyrp)-1 and Tyrp-2;and microphthalmia-associated transcription factor (MiTF).[1; 2],Experimental dermatology,2017,*
Coumestrol Down-Regulates Melanin Production in Melan-a Murine Melanocytes through Degradation of Tyrosinase,Jeong Ah Hwang; Nok Hyun Park; Yong Joo Na; Hae Kwang Lee; John Hwan Lee; Yong Jin Kim; Chang Seok Lee,抄録 Pigmentation reflects skin darkening caused by melanin production; but excessivemelanin synthesis may cause problems; such as melasma; solar lentigo; dark spots; andfreckles. Considerable effort has been devoted to alleviating these undesired symptomsthrough the development of safe and effective depigmenting agents. Coumestrol; a plant-derived natural isoflavone with an estrogen-like structure and actions; is known to have anti-aging ability; but its potential depigmenting efficacy has not been evaluated. In the presentstudy; we investigated the effects of coumestrol on melanin synthesis in normal melan-amurine melanocytes. Coumestrol significantly reduced melanin synthesis in a concentration-dependent manner up to a concentration of 25 µM without causing cytotoxicity. It alsobrightened tissue in an artificial skin model (MelanoDerm) that incorporates both human …,Biological and Pharmaceutical Bulletin,2017,*
P-40 Comparison of clinical findings between patients with pulmonary NTM disease and those with NTM colonization,Ji Young Hong; Chang Youl Lee; Myung Goo Lee,Background: As culture technique for nontuberculous mycobacteria (NTM) improve; NTMisolation from respiratory specimen increases. Differentiating pulmonary NTM (PNTM)disease and NTM colonization is clinically important. Methods: We identified the patientswhose respiratory specimen was positive for NTM from 2014 to 2016 in Chuncheon SacredHeart Hospital and Hallym University Sacred Heart Hospital. 68 patients who fulfilled thediagnostic criteria of PNTM disease were compared to 50 patients with NTM colonization.Results: We did not find significant difference of age; gender; the number of comorbiddisease and nutritional markers between patients with PNTM disease and those with NTMcolonization. On multivariate analysis; BMI< 18.5 kg/m2 (OR= 2.82; 95% CI= 1.03-7.77; P=0.045); previous history of pulmonary TB (OR= 5.90; 95% CI= 1.20-28.93; P= 0.029); and …,대한결핵및호흡기학회 추계학술발표초록집,2017,*
P-35 TLR4 contributes to tuberculous pleural fibrosis through NOX4-ROS signal pathway,Ji Young Hong; So Yeong Park; Youngmi Kim; Chang Youl Lee; Myung Goo Lee,Introduction: Tuberculous pleurisy sometimes results in pleural fibrosis that could causerespiratory failure. Pleural mesothelial cells (PMC) play an important role in pleural fibrosis.The detailed mechanisms about TB pleurisy-associated fibrosis remain to be not wellunderstood. Several studies suggest that reactive oxygen species (ROS) produced by NOXshave been shown to initiate lung fibrosis. Methods: In vitro human PMC experiments wereperformed to assess the role of NOX4-ROS associated signaling in pleural mesothelial cellin response to heat-killed mycobacterium tuberculosis (HKMT) infection. Results: Our resultsdemonstrated that HKMT induced NOX4-ROS production and EMT (epithelial mesenchymaltransition) in PMC. CLI-095; TLR4 inhibitor reduced NOX4-ROS production and subsequentfibrosis. In cultured PMC; SiRNA NOX4 pretreatment prevented HKMT induced collagen …,대한결핵및호흡기학회 추계학술발표초록집,2017,*
Antimelanogenic Efficacy of Melasolv (3; 4; 5-Trimethoxycinnamate Thymol Ester) in Melanocytes and Three-Dimensional Human Skin Equivalent,John Hwan Lee; Eun-Soo Lee; Il-Hong Bae; Jeong-Ah Hwang; Se-Hwa Kim; Dae-Yong Kim; Nok-Hyun Park; Ho Sik Rho; Yong Jin Kim; Seong-Geun Oh; Chang Seok Lee,<b><i>Background/Aims:</i></b> Excessive melanogenesis oftencauses unaesthetic hyperpigmentation. In a previous report; our groupintroduced a newly synthesized depigmentary a.,Skin pharmacology and physiology,2017,*
Different effects of five depigmentary compounds; rhododendrol; raspberry ketone; monobenzone; rucinol and AP736 on viability of melanocytes,Chang Seok Lee; Yung Hyup Joo; Heung Soo Baek; Miyoung Park; Jeong Hwan Kim; Hong Ju Shin; Nok Hyun Park; John Hwan Lee; Young Ho Park; Song Seok Shin; Hae Kwang Lee,There are many types of hyperpigmentation disorders caused by disregulation of skinpigmentation. Some common types of the diseases; including senile lentigo and post-inflammatory hyperpigmentation; show abnormal melanin pigmentation in both epidermisand dermis. In the dermal pigmentation; macrophagelike cells; called melanophages; arebelieved to internalize melanosomes dropped down from the epidermis to the dermis. Sincelittle attention has been given to the origin of the melanophages; the contribution of dermalfibroblasts to the dermal pigmentation has scarcely discussed except a few case reportstudies. This study aims to assess the possibility of the direct internalization of melanosomesby the dermal fibroblasts. When the Human Dermal Fibroblast (HDF) was incubated withmagnetic beads (Dynabeads; Invitrogen); only a few but a certain number of HDFs …,Journal of Dermatological Science,2016,*
Substituted N‐Benzylbenzamide: A New Series of Depigmentation Agents with Tyrosinase Inhibitory Activity,Jae Won Yoo; Yong Deog Hong; Heung Soo Baek; Soo Jeong Choi; Chang Seok Lee; Kyoung Hee Byoun; Ho Sik Rho; Yong‐Jin Kim; John Hwan Lee; Yung Hyup Joo,Hyperpigmentation is a common skin problem related to the production of melanin in skin.Melanin; a heterogeneous biopolymer; has a complex structure that is formed in epidermalmelanocytes. It plays a protective role against various external stimuli; free radicals; and isalso useful for the conservation of proteins and genes in skin. However; over-production ofmelanin causes various skin diseases. 1; 2 The synthesis of melanin involves a tyrosinaseenzyme; which catalyzes the hydroxylation of tyrosine to dopa and oxidation of dopa todopaquinone. Tyrosinase is a key enzyme in melanin generation; it is also known for itsaction in the oxidation of the phenolic ring to the corresponding quinone ring and isresponsible for the enzymatic browning of fruits. 3; 4 Tyrosinase inhibition has been themain strategy for reducing melanogenesis. 3–7 There are many types of tyrosinase …,Bulletin of the Korean Chemical Society,2016,*
Efficacy and response predictors of inhaled corticosteroid treatment on chronic cough,Seung Hun Jang; Joo-Hee Kim; Sunghoon Park; Yong Il Hwang; Ki-Suck Jung; Chang Youl Lee,Background: Inhaled corticosteroids (ICS) are the drug of choice for eosinophilic airwaydiseases; but their efficacy on other causes of chronic cough is controversial. Aims andobjectives: This was a prospective observational study to find out ICS efficacy and clinicalpredictors of response in patients with upper airway cough syndrome (UACS) and idiopathicchronic cough (ICC). Methods: Patients (≥ 18 year-old) with UACS or ICC (duration ofcough≥ 8 weeks) were included. Patients with asthma or frequent gastro-esophageal refluxsymptoms were excluded. They were treated with ICS: 250µg of fluticasone propionate or400µg of budesonide twice a day at physician9s discretion. Any other respiratory medicinewas prohibited. Baseline cough frequency and severity were scored 1-4. They were followedafter 2 weeks to assess remnant cough which was measured as 0-100% compared with …,*,2016,*
Comparison analysis of malignant and tuberculous pleural fluid using proteomic method,Chang Youl Lee; Ji Young Hong; Myung-Goo Lee; Seung Hun Jang; In-Bum Suh,Background and Aim: A pleural effusion; an accumulation of fluid in the pleural space;usually occurs in patients when the rate of fluid formation exceeds the rate of fluid removal.Interest in the diagnostic utility of proteins present in the pleural effusion has recentlyincreased. The differential diagnosis of tuberculous pleurisy and malignant pleural effusionis a difficult task in high tuberculous prevalence areas. The aim of the present study is toidentify novel biomarkers for the diagnosis of pleural fluid using proteomics technology.Methods: We analyzed the proteins in pleural fluid from patients using a technique thatcombined 2D liquid-phase electrophoresis (2-DE); matrix-assisted laser desorptionionization-time of flight-mass spectrometry (MALDI-TOF-MS). Patients with transudativepleural effusions; tuberculous; or malignant effusions were enrolled in the study. Results …,*,2016,*
Antimelanogenic activity of a novel adamantyl benzylbenzamide derivative; AP736: a randomized; double‐blind; vehicle‐controlled comparative clinical trial perform...,Yeon Su Jeong; Jeong‐Hwan Kim; Joonho Choi; Heung Soo Baek; Yung Hyup Joo; Chang Seok Lee; Hong‐Ju Shin; Young‐Ho Park; Beom Joon Kim; Song Seok Shin,Materials and Methods Forty-eight healthy Korean women aged 20–60 years were enrolledin this study for 6 weeks. Women who were pregnant or undergoing any concurrent therapywere excluded. Subjects were instructed to apply a randomly assigned formulationcontaining 0.5% AP736 (test formulation; n= 24) or vehicle (vehicle control; n= 24) inaddition to an assigned sunscreen with a twice-daily application protocol. The degree offacial pigmentation was measured objectively using a Mexameter MX18 and ChromameterCM700; in addition to assessment by physicians using clinical photographs. Results TheAP736 formulation was significantly (P< 0.05) more effective than the vehicle controlformation in reducing the appearance of pigmentation at 3-and 6-week follow-up visits.Conclusion A formulation containing a novel skin whitening ingredient; AP736; effectively …,International journal of dermatology,2016,*
Oncogenic Osteomalacia From a Primary Phosphaturic Mesenchymal Tumor of the Toe: A Case Report,Isaac Kim; Rajiv Rajani,Abstract Oncogenic osteomalacia is an acquired; rare paraneoplastic syndromecharacterized by renal phosphate wasting and subsequent hypophosphatemicosteomalacia. The condition is usually associated with a phosphaturic mesenchymal tumor;which produces fibroblast growth factor 23; the primary circulating factor responsible forreduced tubular phosphate reabsorption. Clinically; adult patients typically present withbone pain; myalgia; recurrent and/or multiple stress fractures; and fatigue; with serum levelstypified by low 1; 25-(OH) 2 vitamin D 3; increased alkaline phosphatase; and normalcalcium; parathyroid hormone; calcitonin; 25-OH-vitamin D 3; and 25; 25-(OH) 2 vitamin D 3levels. The tumor in question is typically benign and can be of little clinical significance apartfrom its role in causing hypophosphatemic osteomalacia. Detection of the tumor; therefore …,The Journal of Foot and Ankle Surgery,2016,*
Factors Associated With Acute Exacerbation in COPD Patients With Mild-to-Moderate Airflow Limitation,Yong Il Hwang; Chang Youl Lee; Sunghoon Park; Joo Hee Kim; Yong Bum Park; Seung Hun Jang; Kwang Ha Yoo; Chin Kook Rhee; Hyoung Kyu Yoon; Ki-Suck Jung,PURPOSE: The aim of this study was to compare the clinical characteristics of patients withmild-to-moderate airflow limitation according to the experience the acute exacerbation.METHODS: The patients included in the present study were from the Korean COPD SubtypeStudy (KOCOSS) cohort. The patients were recruited from 37 referral hospitals in Korea. Thedefinition of COPD was adopted by the GOLD guideline. We obtained the clinical data fromthe medical record and compared the clinical; spirometric data according to thedevelopment of exacerbation during the follow-up period RESULTS: A total of 570 patientswith mild-to-moderate airflow limitation were enrolled. A total of 9.3% had FEV 1> 80% ofpredicted value. The mean CAT score was 13.9±6.9. The mean SGRQ-c was 30.4±6.5.There were 114 patients (20%) who had experienced one year before enrollment. A total …,Chest,2015,*
Elevated Levels of Pro-Cathepsin D in the Plasma and Pleural Fluid of Patients With Lung Cancer,Chang Youl Lee; Myung-Goo Lee; In-Bum Suh,PURPOSE: The proteolytic degradation of extracellular matrix components is a curtail part ofthe multistep process of cancer cell invasion and metastasis. Cathepsin D (CD) as alysosomal aspartic protease is one of the most important intracellular enzymes considered tobe substantially involved in tumor invasion. Procathespin D (pCD) is overexpressed andsecreted by cells of various tumor types. It was the aim of this study to evaluate the serumand pleural fluid levels of CD and pCD as a differential diagnostic tool in patients withpleural effusion caused by malignant or benign process. METHODS: CD; pCD weremeasured in plasma and pleural fluid samples obtained from 85 patients (40 patients withlung cancer; 30 patients with tuberculosis; 10 patients with parapneumonic effusion; 5patients with transudate effusion) using an enzyme immunoassay (ELISA) and sandwich …,Chest,2015,*
A Case of Fungating Type Natural Killer Like T Cell Lymphoma of the Ascending Colon,Chang Seok Lee; Dong Hoon Shin; Cheol Woong Choi; Hyung Wook Kim; Dae Hwan Kang; Kyung Won Koh; Byoung Hoon Ji; Su Bum Park,Abstract Primary colorectal lymphoma is a very rare disease entity that accounts for less than0.2-0.65% of all colon cancers. It is as an extranodal lymphoma of the colon that mainlyarises from B cells and primary colorectal lymphoma that arises from T cells is very rare bothin Western countries and in Korea. Colonic lymphoma can be classified endoscopically into5 categories as follows: fungating; ulcerative; infiltrative; ulcerofungating; andulceroinfiltrative type. The endoscopic features of primary colorectal lymphoma differaccording to their cellular origin; about half of B cell lymphomas are fungating type whereasmost of T cell lymphomas are of ulcerative or ulceroinfiltrative type. Mass forming primary Tcell lymphoma of the colon is extremely rare. Herein; we present a case of primary naturalkiller like T cell lymphoma of the colon presenting as fungating type with review of …,The Korean Journal of Gastroenterology,2014,*
Poster# T34 INCREASED STABILITY OF MICROTUBULES IN CULTURED OLFACTORY NEUROEPITHELIAL CELLS FROM INDIVIDUALS WITH SCHIZOPHRENIA,Alan Brown; Karin Borgmann-Winter; Chang-Gyu Hahn; Lorna Role; David Talmage; Raquel E Gur; Jacky Chow; Patric Prado; Thelma McCloskey; J Chloe Bulinski; Andrew Dwork,Background: Interventions to reduce the duration of untreated psychosis should targetinstitutions and key figures who may interact with individuals with emerging or untreatedpsychosis. Criminal justice settings; such as jails and prisons; may come into contact withmany such individuals. The purpose of the present report is to determine the frequency ofincarcerations during patients' initial treatment delay for a psychotic disorder in an urbansetting. Methods: Retrospective data were collected from an urban; largely African Americangroup of patients hospitalized for first-episode psychosis (n= 191). Collected data includedincarceration history; premorbid functioning; age at onset; symptom severity; and diagnosis.Results: Some 37% of participants were incarcerated at some point during their duration ofuntreated psychosis. Patients with a history of incarceration during the initial period of …,Schizophrenia Research,2014,*
Development and Evaluation of the Reader for Blood Typing using Column Agglutination Method,Jin Kim; Wooram Jeon; Seoung Woo Park; Chang Youl Lee; Da-Hyeon Lee; In-Taek Choi; Ju Yeon Kim; In Bum Suh,Abstract Accurate blood typing tests are essential for safe blood transfusion. Recently manyautomated test equipments have been introduced to reduce errors and increase theefficiency of the test. However; those equipments being high in price; it is difficult to introduceautomated test equipment for every hospital. In this study; we developed a reader for bloodtyping using column agglutination test. In the process; the results; read out by the imageprocessing; are stored and reaffirmed. To evaluate the reader; 148 samples for ABO andRhD blood typing tests and 154 samples for unexpected antibody test were used. Thepositive and negative intensity of the reading and the reading of the reaction were 100% inagreement with the result of traditional manual method. If additional verification iscompleted; this reader can be efficiently and economically used in small-and medium …,The Journal of the Korea Contents Association,2014,*
Analysis Of Pleural Fluid And Plasma Using Proteomic Method In Patients With Pleural Effusion,C Lee; IB Suh; C Lee,Rationale pneumonia; tuberculosis; and cancer; when the rate of fluid formation exceeds therate of fluid removal. Biochemical examination of pleural fluid is usually performed to identifythe cause of a pleural effusion. It is of interest to investigate whether proteins in pleuraleffusion can be used as markers for diagnosis of pleural effusion. The differential diagnosisof tuberculous pleurisy and malignant pleural effusion is a difficult clinical problem in hightuberculous prevalence area. The purpose of the study is to establish basic data base ofplasma and pleural fluid and to figure out the target protein with proteomics technology. Weinvestigated the proteins in pleural fluid and plasma from patients with pleural effusion usinga strategy that combined 2D,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,2014,*
Development and evaluation of the multi-strip reader for point of care testing,Jin Kim; Wooram Jeon; Seoung Woo Park; Chang Youl Lee; Da-Hyeon Lee; In-Taek Choi; Ju Yeon Kim; In Bum Suh,Abstract Point of care testing (POCT) is could be easily and economically performed andwas widely used. In particular; the test items using immune chromatographic method hasbeen conveniently used. But when an error occurs; we should reaffirmed the test results; butwe could not reaffirm because the test line is disappeared as the time pass; and the testresults are different between laboratory workers. Therefore; we developed multi-strip readerwhich can store images for the test results and can interpretate the test results automatically.Then we evaluated newly developed multi-strip reader for urine pregnancy test; the testresults of the multi-strip reader was 100% matched with the previously results. Our newlydeveloped multi-strip reader was convenient and economic; and will be widely used in manylaboratories.,The Journal of the Korea Contents Association,2014,*
Characteristics Of Undifferentiated Connective Tissue Disease Lung Involvement,W Ji; M Kim; TV Colby; S Jang; C Lee; S Han; D Kim; H Kim,Undifferentiated connective tissue disease (UCTD) defined as conditions characterised bythe presence of signs and symptoms suggestive of connective tissue disease (CTD) withautoantibody but do not fulfil classification criteria of specific CTD. Although NSIP patternwas first described in UCTD; UIP pattern seems to be not infrequent; and then thedifferentiation from idiopathic pulmonary fibrosis may be difficult. The aim of this study was toinvestigate the frequency and prognosis of UIP and NSIP pattern in UCTD and prognosticdifference between UCTD-UIP and IPF.,AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,2014,*
Erratum: A Prospective Study on an Association between Apolipoprotein E epsilon4 and Cognitive Change in Community-Dwelling Elders with Alzheimer's Disease,Min Sung Kang; Seok Woo Moon,癤  …,Korean Journal of Biological Psychiatry,2013,*
The hemostatic outcomes between coagulation methods and hemoclip,Dae Hwan Kang; Joung Boom Hong; Hyung Wook Kim; Cheol Woong Choi; Su Bum Park; Byung Jun Song; Young Mi Hong; Byoung Hoon Ji; Dong Jun Kim; Chang Seok Lee,DAE HWAN KANG; JOUNG BOOM HONG; HYUNG WOOK KIM; CHEOL WOONG CHOI; SUBUM PARK; BYUNG JUN SONG; YOUNG MI HONG; BYOUNG HOON JI; DONG JUN KIM;CHANG SEOK LEE,Journal of Gastroenterology and Hepatology,2013,*
