Indexing the Positions of Continuously Moving Objects.,Simonas Saltenis; Christian S. Jensen; Scott T. Leutenegger; Mario A. López,*,SIGMOD Conference,2000,1252
Efficient vessel tracking with accuracy guarantees,Martin Redoutey; Eric Scotti; Christian Jensen; Cyril Ray; Christophe Claramunt,Abstract Safety and security are top concerns in maritime navigation; particularly as maritimetraffic continues to grow and as crew sizes are reduced. The Automatic Identification System(AIS) plays a key role in regard to these concerns. This system; whose objective is in part toidentify and locate vessels; transmits location-related information from vessels to groundstations that are part of a so-called Vessel Traffic Service (VTS); thus enabling these to trackthe movements of the vessels. This paper presents techniques that improve the existing AISby offering better and guaranteed tracking accuracies at lower communication costs. Thetechniques employ movement predictions that are shared between vessels and the VTS.Empirical studies with a prototype implementation and real vessel data demonstrate that thetechniques are capable of significantly improving the AIS.,International Symposium on Web and Wireless Geographical Information Systems,2008,11
A testbed for the exploration of novel concepts in mobile service delivery,Rico Wind; Christian S Jensen; Kenneth H Pedersen; Kristian Torp,This paper describes an open; extendable; and scalable system that supports the delivery ofcontext-dependent content to mobile users. The system enables users to receive contentfrom multiple content providers that matches their demographic data; active profiles; andcontext such as location and time. The system also allows users to subscribe to specificservices. In addition; it allows users to provide their own content and services; by eitherusing the system's publicly available interface or by filling out one of the service-configuration templates.,Mobile Data Management; 2007 International Conference on,2007,11
Temporal databases,Richard Snodgrass; Christian Jensen,*,*,2006,11
A component-based conceptual model for spatiotemporal design,N Tryfona; C Jensen,*,Chorochronos; A Network for Spatiotemporal Database Systems. Report Technical report,1998,11
Efficient differential timeslice computation,Kristian Torp; Leo Mark; Christian S Jensen,Transaction-time databases support access to not only the current database state; but alsoprevious database states. Supporting access to previous database states requires largequantities of data and necessitates efficient temporal query processing techniques.Previously; we presented a log based storage structure and algorithms for the differentialcomputation of previous database states. Timeslices-ie; previous database states-arecomputed by traversing a log of database changes; using previously computed and cachedtimeslices as outsets. When computing a new timeslice; the cache will contain two candidateoutsets: an earlier outset and a later outset. The new timeslice can be computed by eitherincrementally updating the earlier outset or decrementally" downdating" the later outsetusing the log. The cost of this computation is determined by the size of the log between …,IEEE Transactions on knowledge and data engineering,1998,11
Michael Böhlen; James Clifford; Ramez Elmasri; Sashi K,Christian S Jensen; Curtis E Dyreson,*,*,1998,11
Michael Böhlen; James Clifford; Ramez Elmasri; Sashi K,Christian S Jensen; Curtis E Dyreson,*,*,1998,11
Michael Böhlen; James Clifford; Ramez Elmasri; Sashi K,Christian S Jensen; Curtis E Dyreson,*,*,1998,11
Clinical Data Warehousing-A Survey,Torben Bach Pedersen; Christian S Jensen,Abstract In this article we present the concept of data warehousing; and its use in the clinicalarea. Clinical data warehousing will become very important in the near future; as healthcareenterprises need to gain more information from their clinical; administrative; and nancialdata; in order to improve quality and reduce costs. Adoption of data warehousing in healthcare has been slowed by lack of understanding of the bene ts o ered by the technology. Thispaper contributes by providing needed understanding; by introducing the opportunities oered by data warehousing; describing current e orts in the area; and providing criteria forcomparing clinical data warehouse systems.,VIII Mediterranean Conference on Medical and Biological Engineering and Computing (Medicon98). Limassol; Cyprus,1998,11
Overview of the Special Section on Temporal Database Infrastructure,Richard T Snodgrass,The area of temporal databases has been active for the last fteen years; with a corpusnearing 800 papers. Most applications need to store time-varying data; yet there are nowidely used commercial temporal databases. A primary reason for the absence oftechnology transfer from research to practice is the lack of a commonly accepted consensusdata model or query language. Even the terminology is inconsistent.,SIGMOD Record,1994,11
Sequenced semantics,Michael H Böhlen; Christian S Jensen,The values in the relations of a relational database are elements of one or more underlyingsets called domains. In practical applications; a domain may be infinite; eg; the set of naturalnumbers. In this case; the value of a relational calculus query when applied to such adatabase may be infinite; eg;{njn! 10}. A query Q is called finite if the value of Q whenapplied to any database is finite. Even when the database domains are finite; all that isnormally known about them is that they are some finite superset of the values that occur inthe database. In this case; the value of a relational calculus query may depend on such anunknown domain; eg;{xj 8yR (x; y)}. A query Q is called domain independent if the value of Qwhen applied to any database is the same for any two domains containing the databasevalues or; equivalently; if the value of Q when applied to a database contains only values …,*,2009,10
Temporal aggregation,Johann Gamper; Michael Böhlen; Christian S Jensen,There are two kinds of tables: frequency tables that display the count of respondents at thecrossing of the categorical attributes (in N) and magnitude tables that display information ona numerical attribute at the crossing of the categorical attributes (in R). For example; givensome census microdata containing attributes “Job” and “Town;” one can generate afrequency table displaying the count of respondents doing each job type in each town. If thecensus microdata also contain the “Salary;” attribute; one can generate a magnitude tabledisplaying the average salary for each job type in each town. The number n of cells in atable is normally much less than the number r of respondent records in a microdata file.However; tables must satisfy several linear constraints: marginal row and column totals.Additionally; a set of tables is called linked if they share some of the crossed categorical …,*,2009,10
Collaborative spatial data sharing among mobile lightweight devices,Zhiyong Huang; Christian S Jensen; Hua Lu; Beng Chin Ooi,Abstract Mobile devices are increasingly being equipped with wireless peer-to-peer (P2P)networking interfaces; rendering the sharing of data among mobile devices feasible andbeneficial. In comparison to the traditional client/server wireless channel; the P2P channelshave considerably higher bandwidth. Motivated by these observations; we propose acollaborative spatial data sharing scheme that exploits the P2P capabilities of mobiledevices. Using carefully maintained routing tables; this scheme enables mobile devices notonly to use their local storage for query processing; but also to collaborate with nearbymobile peers to exploit their data. This scheme is capable of reducing the cost of thecommunication between mobile clients and the server as well as the query response time.The paper details the design of the data sharing scheme; including its routing table …,International Symposium on Spatial and Temporal Databases,2007,10
Expiration times for data management,Albrecht Schmidt; Christian S Jensen; Simonas Saltenis,This paper describes an approach to incorporating the notion of expiration time into datamanagement based on the relational model. Expiration times indicate when tuples cease tobe current in a database. The paper presents a formal data model and a query algebra thathandle expiration times transparently and declaratively. In particular; expiration times areexposed to users only on insertion and update; and when triggers fire due to the expirationof a tuple; for queries; they are handled behind the scenes and do not concern the user.Notably; tuples are removed automatically from (materialised) query results as they expire inthe (base) relations. For application developers; the benefits of using expiration times areleaner application code; lower transaction volume; smaller databases; and higherconsistency for replicated data with lower overhead. Expiration times turn out to be …,Data Engineering; 2006. ICDE'06. Proceedings of the 22nd International Conference on,2006,10
Extending UML for Space-and Time-Dependent Applications.,Rosanne Price; Nectaria Tryfona; Christian S Jensen,In recent years; the need for a temporal dimension in traditional spatial information systemsand for high-level models useful for the conceptual design of the resulting spatiotemporalsystems has become clear. Although having in common a need to manage spatial data andtheir changes over time; various spatiotemporal applications may manage different types ofspatiotemporal data and may be based on very different models of space; time; and change.For example; the term spatiotemporal data is used to refer both to temporal changes inspatial extents; such as redrawing the boundaries of a voting precinct or land deed; and tochanges in the value of thematic (ie; alphanumeric) data across time or space; such asvariation in soil acidity measurements depending on the measurement location and date. Aspatiotemporal application may be concerned with either or both types of data. This; in …,*,2002,10
METAXPath,Curtis E Dyreson; Michael H Böhlen; Christian S Jensen,Abstract This paper presents the METAXPath data model and query language. METAXPathextends XPath with support for XML metadata. XPath is a specification language forlocations in an XML document. It serves as the basis for XML query languages like XSLTand the XML Query Algebra. The METAXPath data model is a nested XPath tree. Each levelof metadata induces a new level of nesting. The data model separates metadata and datainto different dataspaces; supports meta-metadata; and enables sharing of metadatacommon to a group of nodes without duplication. The METAXPath query language has alevel shift operator to shift a query from a data,International Conference on Dublin Core and Metadata Applications,2001,10
A conceptual modeling language for spatiotemporal applications,Rosanne Price; Nectaria Tryfona; Christian S Jensen,Abstract. This paper presents a conceptual modeling language for spatiotemporalapplications that offers built-in support for capturing geo-referenced; time-varyinginformation. More specifically; the well-known object-oriented Unified Modeling Language(UML) is extended to capture the semantics of space and time as they appear inspatiotemporal applications. Language clarity and simplicity is maintained in the newlanguage; the Extended Spatiotemporal UML; which introduces a small base set ofmodeling constructs; namely; the spatial; temporal and thematic constructs; which can thenbe combined and applied at different levels (ie; attribute; association; object class) in theobject-oriented model. An example is used to illustrate the simplicity and flexibility of thisapproach; and a formal functional specification of the semantic constructs and their …,WWW document; http://www. cs. auc. dk/~ csj/Papers/Files/1999_priceCH-99-20. pdf,1999,10
Ilsoo Ahn; Gad Ariav; Don Batory; James Clifford; Curtis E,Richard T Snodgrass,*,Dyreson; Ramez Elmasri; Fabio Grandi; Christian S. Jensen; Wolfgang Kifer; Nick Kline; Krishna Kulkarni; TY Cliff Leung; Nikos Lorentzos; John F. Roddick; Arie Segev; Michael D. Soo and Suryanarayana M. Sripada; The TSQL2 Temporal Query Language; Kluwer Academic Publishers,1995,10
Proposed temporal database concepts,CS Jensen; J Clifford; C Dyreson; SK Gadia; F Grandi; S Jojodia; N Kline; A Montanari; D Nonen; E Peressi; B Pernici; JF Roddick; NL Sarda; MR Scalas; A Segev; RT Snodgrass; MD Soo; A Tansel; P Tiberio,*,Proc. of the Intl. Workshop on an Infrastructure for Temporal Databases; Arlington; TX,1993,10
Using caching; cache indexing and differential techniques to efficiently support transaction time,Christian S Jensen; Leo Mark; Nick Roussopoulos; Timos Sellis,Google; Inc. (search) …,*,1990,10
Finding top-k relevant groups of spatial web objects,Anders Skovsgaard; Christian S Jensen,Abstract The web is increasingly being accessed from geo-positioned devices such assmartphones; and rapidly increasing volumes of web content are geo-tagged. In addition;studies show that a substantial fraction of all web queries has local intent. This developmentmotivates the study of advanced spatial keyword-based querying of web content. Previousresearch has primarily focused on the retrieval of the top-k individual spatial web objects thatbest satisfy a query specifying a location and a set of keywords. This paper proposes a newtype of query functionality that returns top-k groups of objects while taking into accountaspects such as group density; distance to the query; and relevance to the query keywords.To enable efficient processing; novel indexing and query processing techniques for singleand multiple keyword queries are proposed. Empirical performance studies with an …,The VLDB Journal,2015,9
Sharing-aware horizontal partitioning for exploiting correlations during query processing,Kostas Tzoumas; Amol Deshpande; Christian S Jensen,Abstract Optimization of join queries based on average selectivities is suboptimal in highlycorrelated databases. In such databases; relations are naturally divided into partitions; eachpartition having substantially different statistical characteristics. It is very compelling todiscover such data partitions during query optimization and create multiple plans for a givenquery; one plan being optimal for a particular combination of data partitions. This scenariocalls for the sharing of state among plans; so that common intermediate results are notrecomputed. We study this problem in a setting with a routing-based query execution enginebased on eddies [1]. Eddies naturally encapsulate horizontal partitioning and maximal statesharing across multiple plans. We define the notion of a conditional join plan; a novelrepresentation of the search space that enables us to address the problem in a principled …,Proceedings of the VLDB Endowment,2010,9
Temporal Homogeneity,Christian S Jensen; Richard T Snodgrass,There are two kinds of tables: frequency tables that display the count of respondents at thecrossing of the categorical attributes (in N) and magnitude tables that display information ona numerical attribute at the crossing of the categorical attributes (in R). For example; givensome census microdata containing attributes “Job” and “Town;” one can generate afrequency table displaying the count of respondents doing each job type in each town. If thecensus microdata also contain the “Salary;” attribute; one can generate a magnitude tabledisplaying the average salary for each job type in each town. The number n of cells in atable is normally much less than the number r of respondent records in a microdata file.However; tables must satisfy several linear constraints: marginal row and column totals.Additionally; a set of tables is called linked if they share some of the crossed categorical …,*,2009,9
Advanced tracking of vehicles,Christian Søndergaard Jensen; K-J Li; Stardas Pakalnis; Simonas Saltenis,Abstract: With the continued advances in wireless communications; geo-locationtechnologies; and consumer electronics; it is becoming possible to accurately track the time-varying location of each vehicle in a population of vehicles. This paper reports on ongoingresearch that has as it objective to develop efficient tracking techniques. More specifically;while almost all commercially available tracking solutions simply offer time-based samplingof positions; this paper's techniques aim to offer a guaranteed tracking accuracy for eachvehicle at the lowest possible costs; in terms of network traffic and server-side updates. Thisis achieved by designing; prototyping; and testing novel tracking techniques that exploitknowledge of the road network and past movement. These resulting tracking techniques areto support mobile services that rely on the existence of a central server that continuously …,European Congress and Exhibition on Intelligent Transport Systems,2005,9
Modeling and testing legacy data consistency requirements,Jan Pettersen Nytun; Christian S Jensen,Abstract An increasing number of data sources are available on the Internet; many of whichoffer semantically overlapping data; but based on different schemas; or models. While it isoften of interest to integrate such data sources; the lack of consistency among them makesthis integration difficult. This paper addresses the need for new techniques that enable themodeling and consistency checking for legacy data sources. Specifically; the papercontributes to the development of a framework that enables consistency testing of datacoming from different types of data sources. The vehicle is UML and its accompanying XMI.The paper presents techniques for modeling consistency requirements using OCL and otherUML modeling elements: it studies how models that describe the required consistenciesamong instances of legacy models can be designed in standard UML tools that support …,International Conference on the Unified Modeling Language,2003,9
Temporal Databases,Michael Hanspeter Bøhlen; Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389326375 …,Encyclopedia of Information Systems; Academic Press; Inc,2003,9
Modeling part-whole relationships for spatial data,Rosanne Price; Nectaria Tryfona; Christian S Jensen,Abstract Spatial applications must manage partwhole (PW) relationships between spatialobjects; for example; the division of an administrative region into zones based on land use.Support for conceptual modeling of relationships between parts and whole; such asaggregation and membership; has been well researched in the object oriented (OO)community; however; spatial data has generally not been considered. We propose here apractical approach to integrating support for spatial PW relationships into conceptualmodeling languages. Three different types of relationships—spatial part; spatialmembership; and spatial inclusion—that are of general utility in spatial applications areidentified and formally defined using a consistent classification framework based on spatialderivation and constraint relationships. An extension of the Unified Modeling Language …,Proceedings of the 8th ACM international symposium on Advances in geographic information systems,2000,9
Evaluating and Enhancing the Completeness of TSQL2,RT Snodgrass; CS Jensen; MH Böhlen,*,*,1995,9
An Evaluation of TSQL2,Richard T Snodgrass; Ilsoo Ahn; Gadi Ariav; P Bayer; James Clifford; Curtis E Dyreson; F Grandi; L Hermosilla; Christian S Jensen; W Käfer; Nick Kline; Krishna Kulkarni; TY Cliff Leung; Nikos Lorentzos; Y Mitsopoulos; JF Roddick; Michael D Soo; Suryanarayana M Sripada,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389385057"}. EN; DA.Danish NationalResearch Database. Search Publications & Researchers. Open AccessIndicator. Publications; Researchers. Search... Search. Search... Search. Example; Findsrecords. water{}; containing the word "water". water supplies"{}"; containing the phrase"water supplies". author:"Doe; John"author:"{}"; containing the prase "Doe; John" in theauthor field. title:IEEEtitle:{}; containing the word "IEEE" in the title field. Need more help?Advanced search tutorial. Selected (0); History. An Evaluation of TSQL2. Save to Mendeley;Export to BibTeX; Export to RIS; Email citation. Authors: Snodgrass; RT ; Close unknown.Ahn; I. ; Close unknown. Ariav; G. ; Close unknown …,*,1994,9
Differential Query Processing in Transaction-Time Databases.,Christian S Jensen; Leo Mark,*,*,1993,9
Towards the realization of transaction time database systems,Christian Søndergaard Jensen,{"controller"=>"catalog"; "action"=>"show"; "locale"=>"en"; "id"=>"2389386584 …,*,1991,9
Searching trajectories by regions of interest,Shuo Shang; Lisi Chen; Christian S Jensen; Ji-Rong Wen; Panos Kalnis,With the increasing availability of moving-object tracking data; trajectory search isincreasingly important. We propose and investigate a novel query type named trajectorysearch by regions of interest (TSR query). Given an argument set of trajectories; a TSRquery takes a set of regions of interest as a parameter and returns the trajectory in theargument set with the highest spatial-density correlation to the query regions. This type ofquery is useful in many popular applications such as trip planning and recommendation;and location based services in general. TSR query processing faces three challenges: howto model the spatial-density correlation between query regions and data trajectories; how toeffectively prune the search space; and how to effectively schedule multiple so-called querysources. To tackle these challenges; a series of new metrics are defined to model spatial …,IEEE Transactions on Knowledge and Data Engineering,2017,8
Using cameras to improve wi-fi based indoor positioning,Laura Radaelli; Yael Moses; Christian S Jensen,Abstract Indoor positioning systems are increasingly being deployed to enable indoornavigation and other indoor location-based services. Systems based on Wi-Fi and videocameras rely on different technologies and techniques and have so far been developedindependently by different research communities; we show that integrating informationprovided by a video system into a Wi-Fi based system increases its maintainability and avoiddrops in accuracy over time. Specifically; we consider a Wi-Fi system that uses fingerprintsmeasurements collected in the space for positioning. We improve the system's room-levelaccuracy by means of automatic; video-driven collection of fingerprints. Our method is ableto relate a Wi-Fi user to unidentified movements detected by cameras by exploiting theexisting Wi-Fi system; thus generating fingerprints automatically. This use of video for …,International Symposium on Web and Wireless Geographical Information Systems,2014,8
Finding shortest paths on terrains by killing two birds with one stone,Manohar Kaul; Raymond Chi-Wing Wong; Bin Yang; Christian S Jensen,Abstract With the increasing availability of terrain data; eg; from aerial laser scans; themanagement of such data is attracting increasing attention in both industry and academia. Inparticular; spatial queries; eg; k-nearest neighbor and reverse nearest neighbor queries; inEuclidean and spatial network spaces are being extended to terrains. Such queries all relyon an important operation; that of finding shortest surface distances. However; shortestsurface distance computation is very time consuming. We propose techniques that enableefficient computation of lower and upper bounds of the shortest surface distance; whichenable faster query processing by eliminating expensive distance computations. Empiricalstudies show that our bounds are much tighter than the best-known bounds in many casesand that they enable speedups of up to 43 times for some well-known spatial queries.,Proceedings of the VLDB Endowment,2013,8
Upgrading uncompetitive products economically,Hua Lu; Christian S Jensen,The skyline of a multidimensional point set consists of the points that are not dominated byother points. In a scenario where product features are represented by multidimensionalpoints; the skyline points may be viewed as representing competitive products. A productprovider may wish to upgrade uncompetitive products to become competitive; but wants totake into account the upgrading cost. We study the top-k product upgrading problem. Givena set P of competitor products; a set T of products that are candidates for upgrade; and anupgrading cost function f that applies to T; the problem is to return the k products in T thatcan be upgraded to not be dominated by any products in P at the lowest cost. This problemis non-trivial due to not only the large data set sizes; but also to the many possibilities forupgrading a product. We identify and provide solutions for the different options for …,Data Engineering (ICDE); 2012 IEEE 28th International Conference on,2012,8
A moving-object index for efficient query processing with peer-wise location privacy,Dan Lin; Christian S Jensen; Rui Zhang; Lu Xiao; Jiaheng Lu,Abstract With the growing use of location-based services; location privacy attracts increasingattention from users; industry; and the research community. While considerable effort hasbeen devoted to inventing techniques that prevent service providers from knowing a user'sexact location; relatively little attention has been paid to enabling so-called peer-wiseprivacy---the protection of a user's location from unauthorized peer users. This paperidentifies an important efficiency problem in existing peer-privacy approaches that simplyapply a filtering step to identify users that are located in a query range; but that do not wantto disclose their location to the querying peer. To solve this problem; we propose a novel;privacy-policy enabled index called the PEB-tree that seamlessly integrates locationproximity and policy compatibility. We propose efficient algorithms that use the PEB-tree …,Proceedings of the VLDB Endowment,2011,8
Numerical Simulation of Gyroscopic Effects in Ansys,Christian Jensen; Lars Damkilde; Ronnie Refstrup Pedersen,This master thesis has been made in the period 7 th of February 2011 to 19 th of August2011 at the 10 th semester at the Department of Civil Engineering at Aalborg UniversityEsbjerg. The project has been initiated by Rambøll Oil & Gas and I would in that contextexpress my gratitude to Ulf Tygesen and Thomas Larsen.,Aalborg University; Denmark,2011,8
Now in temporal databases,Curtis E Dyreson; Christian S Jensen; Richard T Snodgrass,The simplest way to incorporate unknown values into the relational model; is to allowvariables; in addition to constants; as entries in the columns of relations. Such constructs arecalled tables; instead of relations. A table is an incomplete database; and represents a set ofcomplete databases; each obtained by substituting all variables with constants. Differentoccurrences of the same variable (marked null) are substituted with the same constant. Thesubstitution is thus a function from the variables and constants; to the constants; such thatthe function is identity on the constants. A table T then represents the set of relations;denoted rep (T); defined as {v (T): v is a valuation}. Then the certain answer to a query q on atable T; denoted sure (q; T) is the set of tuples that occur in every answer obtained byapplying the query to every database in rep (T). In other words; the certain answer to q on …,*,2009,8
Ranking music data by relevance and importance,Maria M Ruxanda; Alexandros Nanopoulos; Christian S Jensen; Yannis Manolopoulos,Due to the rapidly increasing availability of audio files on the Web; it is relevant to augmentsearch engines with advanced audio search functionality. In this context; the ranking of theretrieved music is an important issue. This paper proposes a music ranking method capableof flexibly fusing the music based on its relevance and importance. The fusion is controlledby a single parameter; which can be intuitively tuned by the user. The notion of authoritativemusic among relevant music is introduced; and social media mined from the Web is used inan innovative manner to determine both the relevance and importance of music. Theproposed method may support users with diverse needs when searching for music.,Multimedia and Expo; 2008 IEEE International Conference on,2008,8
Recovery of vehicle trajectories from tracking data for analysis purposes,Dalia Tiesyte; Christian S Jensen,*,Proc. of the European Congress and Exhibition on Intelligent Transport Systems and Services,2007,8
Advances in Database Technology-EDBT 2002: 8th International Conference on Extending Database Technology; Prague; Czech Republic; March 25-27; Proceedi...,Christian S Jensen; Keith G Jeffery; Jaroslav Pokorny; Simonas Saltenis; Elisa Bertino; Klemens Böhm; Matthias Jarke,The Eighth International Conference on Extending Database Technology; EDBT 2002; washeld in Prague; Czech Republic; March 25–27; 2002. It marks the 50th anniversary ofCharles University's Faculty of Mathematics and Physics and is the most recent in a series ofconferences dedicated to the dissemination and exchange of the latest advances in datamanagement. Previous conferences occurred in Konstanz; Valencia; Avignon; Cambridge;Vienna; and Venice. The topical theme of this year's conference is Data Management in theNew Millennium; which encourages the community to see beyond the management ofmassive databases by conventional database management systems and to extenddatabase technology to support new services and application areas. The intention is to spurgreater interest in more integrated solutions to user problems; which often implies the …,*,2003,8
Persistent views—A mechanism for managing ageing data,Janne Skyt; Christian S Jensen,Abstract Enabled by the continued advances in storage technologies; the amounts of on-linedata grow at a rapidly increasing pace. This development is witnessed in many datawarehouse-type applications; including so-called data webhouses that accumulate clickstreams from portals. The presence of very large and continuously growing amounts of dataintroduces new challenges; one of them being the need for effective management of ageddata. In very large and growing databases; some data eventually becomes inaccurate oroutdated and may be of reduced interest to the database applications. This paper offers amechanism; termed persistent views; that aids in flexibly reducing the volume of data; forexample; by enabling the replacement of such 'low-interest'; detailed data with aggregateddata. The paper motivates persistent views and precisely defines and contrasts these with …,The Computer Journal,2002,8
Efficient conversion between temporal granularities,Hong Lin,Abstract A temporal granularity is a unit of measuring time; eg; second; day; week. Agranularity graph is a directed graph showing the relationship among the granularities.Efficiently and correctly converting time values within the granularity graph is critical forsupporting multiple time granularities in an application program or a database managementsystem. The research involves finding an optimally efficient path in the granularity graph forany pair of granularities and developing an algorithm to perform the conversion operationbetween the two granularities for anchored time related values; to correctly convert agranule from a specified granularity to another granularity. The research also evaluatesseveral strategies to improve the performance of temporal operations at mixed granularities.,*,1997,8
Unification of Temporal Relations,CS Jensen; MD Soo; RT Snodgrass,*,Proceedings of the International Conference on Data Engineering,1992,8
Querying geo-textual data: Spatial keyword queries and beyond,Gao Cong; Christian S Jensen,Abstract Over the past decade; we have moved from a predominantly desktop based web toa predominantly mobile web; where users most often access the web from mobile devicessuch as smartphones. In addition; we are witnessing a proliferation of geo-located; textualweb content. Motivated in part by these developments; the research community has beenhard at work enabling the efficient computation of a variety of query functionality on geo-textual data; yielding a sizable body of literature on the querying of geo-textual data. With afocus on different types of keyword-based queries on geo-textual data; the tutorial alsoexplores topics such as continuous queries on streaming geo-textual data; queries thatretrieve attractive regions of geo-textual objects; and queries that extract properties; eg;topics and top-$ k $ frequent words; of the objects in regions. The tutorial is designed to …,Proceedings of the 2016 International Conference on Management of Data,2016,7
Finding Frequently Visited Indoor POIs Using Symbolic Indoor Tracking Data.,Hua Lu; Chenjuan Guo; Bin Yang; Christian S Jensen,ABSTRACT Indoor tracking data is being amassed due to the deployment of indoorpositioning technologies. Analysing such data discloses useful insights that are otherwisehard to obtain. For example; by studying tracking data from an airport; we can identify theshops and restaurants that are most popular among passengers. In this paper; we study twoquery types for finding frequently visited Points of Interest (POIs) from symbolic indoortracking data. The snapshot query finds those POIs that were most frequently visited at agiven time point; whereas the interval query finds such POIs for a given time interval. Atypical example of symbolic tracking is RFID-based tracking; where an object with an RFIDtag is detected by an RFID reader when the object is in the reader's detection range. Asymbolic indoor tracking system deploys a limited number of proximity detection devices …,EDBT,2016,7
Efficient and accurate path cost estimation using trajectory data,Jian Dai; Bin Yang; Chenjuan Guo; Christian S Jensen,Abstract: Using the growing volumes of vehicle trajectory data; it becomes increasinglypossible to capture time-varying and uncertain travel costs in a road network; includingtravel time and fuel consumption. The current paradigm represents a road network as agraph; assigns weights to the graph's edges by fragmenting trajectories into small piecesthat fit the underlying edges; and then applies a routing algorithm to the resulting graph. Wepropose a new paradigm that targets more accurate and more efficient estimation of thecosts of paths by associating weights with sub-paths in the road network. The paperprovides a solution to a foundational problem in this paradigm; namely that of computing thetime-varying cost distribution of a path. The solution consists of several steps. We first learn aset of random variables that capture the joint distributions of sub-paths that are covered …,arXiv preprint arXiv:1510.02886,2015,7
A clustering approach to the discovery of points of interest from geo-tagged microblog posts,Anders Skovsgaard; Christian S Jensen,Points of interest (PoI) data serves an important role as a foundation for a wide variety oflocation-based services. Such data is typically obtained from an authoritative source or fromusers through crowd sourcing. It can be costly to maintain an up-to-date authoritative source;and data obtained from users can vary greatly in coverage and quality. We are alsowitnessing a proliferation of both GPS-enabled mobile devices and geotagged contentgenerated by users of such devices. This state of affairs motivates the paper's proposal oftechniques for the automatic discovery of PoI data from geo-tagged microblog posts.Specifically; the paper proposes a new clustering technique that takes into account both thespatial and textual attributes of microblog posts to obtain clusters that represent PoIs. Thetechnique expands clusters based on a proposed quality function that enables clusters of …,Mobile Data Management (MDM); 2014 IEEE 15th International Conference on,2014,7
Cross-validation,KA Ross; CS Jensen; R Snodgrass; S Skiadopoulos; C Sirangelo; ML Larsgaard,*,Encyclopedia of Database Systems. Springer US; Boston; MA,2009,7
Map matching,Christian S Jensen; Nerius Tradišauskas,Advances in high throughput sequencing and ''omics''technologies and the resultingexponential growth in the amount of macromolecular sequence; structure; gene expressionmeasurements; have unleashed a transformation of biology from a data-poor science into anincreasingly data-rich science. Despite these advances; biology today; much like physicswas before Newton and Leibnitz; has remained a largely descriptive science. Machinelearning [6] currently offers some of the most cost-effective tools for building predictivemodels from biological data; eg; for annotating new genomic sequences; for predictingmacromolecular function; for identifying functionally important sites in proteins; for identifyinggenetic markers of diseases; and for discovering the networks of genetic interactions thatorchestrate important biological processes [3]. Advances in machine learning eg …,*,2009,7
An apples-to-apples comparison of two database journals,Philip A Bernstein; Elisa Bertino; Andreas Heuer; Christian S Jensen; Holger Meyer; M Tamer Özsu; Richard T Snodgrass; Kyu-Young Whang,The editors of TODS and The VLDB Journal have col- laborated to generate historical data basedon common definitions of relevant metrics. The data reported here was first presented; in preliminaryform; at a VLDB panel [1]. This data has been updated in the intervening time to fix inconsistenciesand improve clarity. We found this to be a useful process; as the underly- ing data was cleanedand as we were able to observe some trends in metrics that had never before beencomputed. Additionally; we feel that such historical data is important for the community;authors; editors; and readers alike. The most recent data on manuscript processing times andrates is of interest to potential authors; some of the met- rics are of interest to readers in judgingthe timeliness of the material published by the journal; and the historical trends are of interestto the database community at large; as it helps us to understand how scientific publishing …,ACM SIGMOD Record,2005,7
Database publication practices,Philip A Bernstein; David DeWitt; Andreas Heuer; Zachary Ives; Christian S Jensen; Holger Meyer; M Tamer Özsu; Richard T Snodgrass; Kyu-Young Whang; Jennifer Widom,Abstract There has been a growing interest in improving the publication processes fordatabase research papers. This panel reports on recent changes in those processes andpresents an initial cut at historical data for the VLDB Journal and ACM Transactions onDatabase Systems.,Proceedings of the 31st international conference on Very large data bases,2005,7
A study of map matching for GPS positioned mobile objects,Nerius Tradišauskas; Dalia Tiešytė; CS Jensen,Page 1. 1 A Study of Map Matching for GPS Positioned Mobile Objects 7th WIM Meeting;Uppsala;Sweden September 15-17; 2004 Nerius Tradišauskas nerius@cs.aau.dk Dalia Tiešytėdalia@cs.aau.dk Supervisor: Christian S. Jensen csj@cs.aau.dk Aalborg University; DenmarkPage 2. 7th WIM meeting; Uppsala; Sweden; September 15-17; 2004 2 Outline ● Introduction ●Problem setting ● Map matching scenarios ● Steps of map matching ● On-line map matching ●Off-line map matching ● Conclusions and future work ● Q/A session Page 3. 7th WIM meeting;Uppsala; Sweden; September 15-17; 2004 3 Introduction ● Miniaturization of consumerelectronics ● Widespread use of GPS receivers; improved positioning accuracy ● Applicationarea: LBS; car navigation; car tracking; etc. ● Map matching – locating a moving object on a digitalmap; given GPS points Page 4. 7th WIM meeting; Uppsala …,7th WIM Meeting,2004,7
