The genome of the model beetle and pest Tribolium castaneum,Tribolium Genome Sequencing Consortium,Abstract Tribolium castaneum is a member of the most species-rich eukaryotic order; apowerful model organism for the study of generalized insect development; and an importantpest of stored agricultural products. We describe its genome sequence here. Thisomnivorous beetle has evolved the ability to interact with a diverse chemical environment;as shown by large expansions in odorant and gustatory receptors; as well as P450 andother detoxification enzymes. Development in Tribolium is more representative of otherinsects than is Drosophila; a fact reflected in gene content and function. For example;Tribolium has retained more ancestral genes involved in cell–cell communication thanDrosophila; some being expressed in the growth zone crucial for axial elongation in short-germ development. Systemic RNA interference in T. castaneum functions differently from …,Nature,2008,909
Na [H 2 TETA] 0.5 [ZnPO 4] 2· 0.5 H 2 O or TJPU-1: A New Zincophosphate Open-structure Co-templated by Sodium and Organoamine,Yongnan Zhao; Jun Jin; Xiaoqin Yang; Yang Yang,*,Bulletin of the Korean Chemical Society,2007,4
Effect of pain education for gynecological patients on pain cognition and their postoperative rehabilitation,Li-li Lin; Xing-xia Li; Xiao-chun Yang,*,Chinese Journal of Nursing,2007,4
Predicting regional Asian soybean rust outbreaks in Brazil and South Africa,E Del Ponte; C Godoy; E Du Preez; N van Rij; P Caldwell; X Yang,*,Phytopathology,2005,4
Visual sign language recognition based on HMMs and auto-regressive HMMs,Xiaolin Yang; Feng Jiang; Han Liu; Hongxun Yao; Wen Gao; Chunli Wang,Abstract A sign language recognition system based on Hidden Markov Models (HMMs) andAuto-regressive Hidden Markov Models (ARHMMs) has been proposed in this paper.ARHMMs fully consider the observation relationship and are helpful to discriminate signswhich don't have obvious state transitions while similar in motion trajectory. ARHMM whichmodels the observation by mixture conditional linear Gaussian is proposed for signlanguage recognition. The corresponding training and recognition algorithms for ARHMMare also developed. A hybrid structure to combine ARHMMs with HMMs based on the trick ofusing an ambiguous word set is presented and the advantages of both models are revealedin such a frame work.,International Gesture Workshop,2005,4
Syntheses and Crystal Structure Characterizations of New Rare Earth Nickel Bismuth Compounds RNi~ xBi~ 2 (R= Y; Gd Tb and Dy),Y Lu; Y Liang; X Yang; H Chen; J Zhao,*,CHINESE JOURNAL OF STRUCTURAL CHEMISTRY,2005,4
Synthesis; crystal structure and quantum chemical calculation of benzimidazole derivatives,FL Bei; HQ Chen; XJ Yang; LD Lu; X Wang,*,Chinese Journal of Organic Chemistry,2004,4
A protein secondary structure prediction framework based on the support vector machine,Xiaochun Yang; Bin Wang; Yiu-Kai Ng; Ge Yu; Guoren Wang,Abstract Our framework for predicting protein secondary structures differs from existingprediction methods since we consider physio-chemical information and context informationof secondary structure segments. We have employed Support Vector Machine (SVM) fortraining the CB513 and RS126 data sets; which are collections of protein secondarystructure sequences; through sevenfold cross validation to uncover the structural differencesof protein secondary structures. We apply the sliding window technique to test a set ofprotein sequences based on the group classification learned from the training data set. Ourprediction approach achieves 77.8% segment overlap accuracy (SOV) and 75.2% three-state overall per-residue accuracy (Q 3) on CB513 set; which outperform existing proteinsecondary structure prediction methods.,International Conference on Web-Age Information Management,2003,4
The Application of MR Dispersion Arthrography in Meniscus Tear of Knee [J],Xiao-chun YANG; Jun-kang SHEN; Yong-sheng YANG; Zhi-an LU; Ming-hui QIAN,Objective To study the clinial application value of MR dispersion arthrography in meniscustear of knee. Methods The conventional MR scans of 24 knee joints in 24 patients who wereconsidered to have meniscus tear were performed and followed by MR dispersionarthrography. All cases were approved by arthroscope or operation. The results of bothconvention MR scan and MR arthrography were compared with arthroscope and operation.The sensitivity and the specificity of plain MR scan and MR dispersion scan were evaluatedrespectively. Results The signal intensity in the area of meniscus tear was obiously highenon MR dispersion scan than that of MR plain scan. The sensitivity was improved from 74.2%to 94.3%; and the specificity improved from 88% to 94.3%. Conclusion MR dispersion scanis superior to convention MR scan in image quality and sensitivity in detecting meniscus …,Journal of Practical Radiology,2002,4
Constraints for information cooperation in virtual enterprise systems,Xiaochun Yang; Ge Yu; Guoren Wang; Dan Wang; Baoyan Song,In recent years; research about distributing information sources over a network has becomeincreasingly important. We concentrate on the issues of information cooperation amongheterogeneous virtual enterprise information sources. When a virtual enterprise was built up;enterprise information will be bound together with some constraints enforcing virtualenterprise logic across several enterprises. We explore the needs on the constraints incooperative virtual enterprise information systems; and present a cooperative model suitablefor constructing a virtual enterprise. This is done through the constraint definition andconstraint model developed in a virtual enterprise information integration system namedViaScope. In order to manage these constraints effectively; the properties of distributedconstraints are studied deeply. Further some novel implementation issues in the …,Cooperative Database Systems for Advanced Applications; 2001. CODAS 2001. The Proceedings of the Third International Symposium on,2001,4
System for Multi-agent Based Agile Scheduling in Virtual Enterprises [J],Dan WANG; Xiaochun YANG; Guoren WANG; Ge YU,This paper presents an approach to deal with the conflicts problems in agile scheduling withthe exploitation of multi-agent techniques. At first; the agile scheduling in virtual enterprisesis discussed; then the connict's happening and type; the resolution methods and the inter-operations among scheduling; planning and supervision are described. Finally. the designof a negotiation mechanism in multi-agent based agile scheduling in virtual enterprises ispresented.,Computer Engineering,2001,4
ニューラルネットワークに基づいた非線形 H∞ コントローラの近似実現,楊暁峰， 申鉄龍， 田村捷利,This paper discusses an approximate realization of nonlinear H∞ state feedback controllerbased on neural networks. A three-layer neural network is constructed and is trained tosatisfy Hamilton-Jacobi inequality; then the state feedback H∞ controller is designed usingthe network solution. It will be shown that the network learning problem for the solution ofHamilton-Jacobi inequality can be formulated as a maximum value function optimizationproblem. A nondifferentiable optimization technique is used to develop a learning algorithm.The efficiency of the proposed method is demonstrated by a numerical example.,計測自動制御学会論文集,1996,4
Method; network adapter; host system; and network device for implementing network adapter offload function,*,A method; a network adapter; a host system; and a network device for implementing anetwork adapter offload function. If a data packet received by the network adapter or the hostsystem is a data packet unknown to the network adapter; the data packet unknown to thenetwork adapter is parsed; a new policy entry is generated; and the new policy entry isupdated into the host policy table and the network adapter policy table. Therefore; for apacket that includes a new proprietary or standard protocol header Tag; only a functionalmodule that parses the packet needs to be updated; so that the functional module is capableof processing such a packet and delivering a new policy entry to the host policy table andthe network adapter policy table and the network adapter does not need to be changed.,*,2017,3
H-MRST: a novel framework for supporting probability degree range query using extreme learning machine,Bin Wang; Rui Zhu; Shiying Luo; Xiaochun Yang; Guoren Wang,Abstract Background/Introduction Data classification is an important application in thedomain of cognitive computation; which has various applications. In this paper; we useclassification techniques to solve some key issues in answering range query overprobabilistic data. The key of answering this query is to store the feature of each uncertainobject in a lightweight structure and use these structures for pruning/validating. However; inthese works; the costly integral calculation has to be carried out when dealing with objectsthat cannot be pruned/validated; and some of the structure construction algorithms are notgeneral. Methods In this paper; we employ ELM; a popular classification technique; to tacklethe above issues. Our proposed methods are as follows: We firstly propose a new querycalled PDR (short for probabilistic degree range) query to substitute the traditional prob …,Cognitive Computation,2017,3
Robust berth allocation using a hybrid approach combining branch-and-cut and the genetic algorithm,Ghazwan Alsoufi; Xinan Yang; Abdellah Salhi,Abstract Seaside operations at container ports often suffer from uncertainty due to eventssuch as the variation in arrival and/or processing time of vessels; weather conditions andothers. Finding a robust plan which can accommodate this uncertainty is therefore desirableto port operators. This paper suggests ways to generate robust berth allocation plans incontainer terminals. The problem is first formulated as a mixed-integer programming modelwhose main objective is to minimize the total tardiness of vessel departure time. It is thensolved exactly and approximately. Experimental results show that only small instances of theproposed model can be solved exactly. To handle large instances in reasonable times; theGenetic Algorithm (GA) is used. However; it does not guarantee optimality and often theapproximate solutions returned are of low quality. A hybrid meta-heuristic which …,International Workshop on Hybrid Metaheuristics,2016,3
Segmentation of prostate from ultrasound images using level sets on active band and intensity variation across edges,Xu Li; Chunming Li; Andriy Fedorov; Tina Kapur; Xiaoping Yang,Purpose: In this paper; the authors propose a novel efficient method to segment ultrasoundimages of the prostate with weak boundaries. Segmentation of the prostate from ultrasoundimages with weak boundaries widely exists in clinical applications. One of the most typicalexamples is the diagnosis and treatment of prostate cancer. Accurate segmentation of theprostate boundaries from ultrasound images plays an important role in many prostate-related applications such as the accurate placement of the biopsy needles; the assignmentof the appropriate therapy in cancer treatment; and the measurement of the prostate volume.Methods: Ultrasound images of the prostate are usually corrupted with intensityinhomogeneities; weak boundaries; and unwanted edges; which make the segmentation ofthe prostate an inherently difficult task. Regarding to these difficulties; the authors …,Medical physics,2016,3
Diffeomorphic metric landmark mapping using stationary velocity field parameterization,Xianfeng Yang; Yonghui Li; David Reutens; Tianzi Jiang,Abstract Large deformation diffeomorphic metric mapping (LDDMM) has been shown as aneffective computational paradigm to measure anatomical variability. However; its time-varying vector field parameterization of diffeomorphism flow leads to computationallyexpensive implementation; as well as some theoretical issues in metric based shapeanalysis; eg high order metric approximation via Baker–Campbell–Hausdorff (BCH) formula.To address these problems; we study the role of stationary vector field parameterization incontext of LDDMM. Under this setting registration is formulated as finding the Lie groupexponential path with minimal energy in Riemannian manifold of diffeomorphisms bringingtwo shapes together. Accurate derivation of Euler–Lagrange equation shows that optimalvector field for landmark matching is associated with singular momenta at landmark …,International Journal of Computer Vision,2015,3
Phytophthora sojae and soybean isoflavones; a model to study zoospore chemotaxis,Chenlei Hua; Xinyu Yang; Yuanchao Wang,Abstract The ability of sensing the signals from hosts; aggregating; and searching for propersites of invasion is crucial for many soil-borne plant pathogens. One of these is Phytophthorasojae that specifically infects soybean and causes severe yield loss. In the field P. sojaezoospores attracted to soybean exudates isoflavones is an essential step for early infection.Recent studies based on genome mining and gene silencing technologies have shown thatthis special zoospore behavior relies on G-protein mediated signaling pathways. This reviewis to summarize researches on P. sojae functional genomics related to G-protein signalingand briefly describe the molecular mechanism of P. sojae zoospore chemotaxis to rootexudates; especially isoflavones.,Physiological and Molecular Plant Pathology,2015,3
The importin α subunit PsIMPA1 mediates the oxidative stress response and is required for the pathogenicity of Phytophthora sojae,Xinyu Yang; Fa Ding; Lei Zhang; Yuting Sheng; Xiaobo Zheng; Yuanchao Wang,Abstract The sensing of extracellular signals and their transduction into an appropriateresponse are crucial for the survival and virulence of plant pathogens. Eukaryotic plantpathogens must overcome the obstacles posed by nuclear membranes to manipulate geneexpression to adapt to the host challenge. A highly sophisticated mechanism is the use ofimportins to transport proteins into the nucleus. In this study; we identified a conservedimportin α gene; PsIMPA1; in Phytophthora sojae that was differentially expressed duringthe life cycle of this soybean pathogen. PsIMPA1 expression was lowest in zoospores andcysts but relatively consistent during the other life cycle stages; except for a slight increase at6 h post infection. Silenced mutants Psimpa1 had a decreased growth rate; an aberrantmycelial morphology; and a severely impaired ability to form oospores and sporangia. In …,Fungal Genetics and Biology,2015,3
Transport properties of Bi 2 Se 3 thin films grown by magnetron sputtering,ZT Wei; M Zhang; Y Yan; X Kan; Z Yu; YL Chen; XS Yang; Y Zhao,Epitaxial growth of Bi 2 Se 3 thin films is of great current interest due to the advantages inspintronics and thermoelectrical applications. In this paper; Bi 2 Se 3 thin films on Si (111)substrate have been prepared via magnetron sputtering deposition with post-annealingtreatment and their microstructures and electrical transport properties were studied. Goodquality with highly c-axis oriented films could be obtained after post-annealing treatment.The annealing temperature (T a) obviously affected the phase structures and electricalproperties. The crystallinity and the lattice parameters c of the Bi 2 Se 3 thin-films increasedwith increasing T a. The relative atomic ratio of Se/Bi decreased with increasing T a andlarge number of Se vacancies was discovered in films with T a= 350° C. The resistivity offilms decreased monotonously and showed weakly metallic resistivity with the increase of …,Functional Materials Letters,2015,3
Temperature dependence of an optical narrow-bandpass filter at 1.5 μm,Xiaoyan Yang; Hao Li; Lixing You; Weijun Zhang; Lu Zhang; Zhen Wang; Xiaoming Xie,For superconducting nanowire single-photon detectors; we designed and fabricated an on-chip narrow-bandpass filter at the central wavelength of 1.5 μm to reduce the influence ofblackbody radiation from the fiber. The bandpass filter was prepared on a thermally oxidizedSi substrate; and it provided a peak transmittance of 88% at the central passbandwavelength and 30 dB suppression at the stop bands. We investigate the temperaturedependence of the filter from room temperature to 2.9 K. The central wavelength of thepassband blue-shifted from 1545±2 nm (295 K) to 1526±2 nm (2.9 K). This effect isexplained by the different indices of refraction of Si at different temperatures.,Applied optics,2015,3
NKG2A expression and impaired function of NK cells in patients with new onset of Graves' disease,Yupan Zhang; Guoyue Lv; Xiaoqian Lou; Di Peng; Xiaozhang Qu; Xige Yang; Desalegn Admassu Ayana; Hui Guo; Yanfang Jiang,Abstract Background Graves' disease (GD) is an organ-specific autoimmune disease. Asignificant decrease of the distribution of NK cells in the peripheral blood in children andadolescents with untreated GD has been observed. However; the role of NK and its subsetsin adults with GD remains unclear. Methods A total of 28 adult patients with new onset of GDand 23 healthy controls (HC) were recruited. The number of activated inhibitory NK cells inperipheral blood of individual subjects was determined by flow cytometry. Results Thenumber of CD3− CD56+ and CD3− CD16+ NK cells in peripheral blood was significantlydecreased in the GD patients than the HC. Compared to the HCs; decreased number ofNKG2D+; NKG2C+; NKp30+ and NKG2A+ NK cells and increased number of KIR3DL1+ NKcells were detected in the GD patients. Moreover; the number of inducible CD107a+ and …,International immunopharmacology,2015,3
A combinatorial Benders’ cuts approach to the seaside operations problem in container ports,Ghazwan Alsoufi; Xinan Yang; Abdel Salhi,Abstract This paper puts forward an integrated optimisation model that combines threedistinct problems; namely the Berth Allocation Problem; the Quay Crane AssignmentProblem; and the Quay Crane Scheduling; which have to be solved to carry out theseseaside operations in container ports. Each one of these problems is complex to solve in itsown right. However; solving them individually leads almost surely to sub-optimal solutions.Hence the need to solve them in a combined form. The problem is formulated as a mixed-integer programming model with the objective being to minimise the tardiness of vessels.Experimental results show that the proposed model provides solutions to small sizeinstances when solved exactly using CPLEX.,11th metahueristics international conference; Agadir; Morocco; june,2015,3
Continuous-wave Ho: GdVO4 laser pumped by Tm-doped fiber laser with a fiber Bragg grating at room temperature,XT Yang; BY Yao,Abstract We reported the Ho: GdVO 4 laser pumped by Tm-doped laser with a fiber Bragggrating. 2.03 W continuous-wave Ho: GdVO 4 laser output power is obtained under 10.5 Wincident pump power; with the optical-to-optical conversion efficiency and slope efficiency of19.3% and 32.3%; respectively; at 7° C. We can see that; the lower the temperature is; thebetter the laser output character is. The beam quality factor is M 2∼ 1.29 measured by thetraveling knife-edge method.,Optik-International Journal for Light and Electron Optics,2014,3
Preparation and photocatalytic property of alumina doped zinc oxide nanoparticles supported on hydroxyapatite,LL Zhang; Q Tong; XY Zhang; Y Lu; JK Liu; JJ Wang; XH Yang,Abstract One-component semiconductor photocatalysts have low photocatalytic life becauseof the recombination of photo generated electrons and holes. Through compositing of twocomponents can significantly improve the photocatalytic efficiency. In this paper; the waterbath heating method has been used to synthesise alumina doped zinc oxide nanoparticlessupported on hydroxyapatite (ZAO/HAP) nanocomposite materials. The ZAO/HAPnanocomposite materials have better photocatalytic efficiency than ZAO nanoparticles. Themorphologies of HAP have significant impact on photocatalytic efficiency of ZAO/HAPcomposite catalysts.,Materials Technology,2014,3
Micro-structural development of glauberite under temperature and concentration coupling effect,Xiao-Qin YANG; Yan-Mei YU; Chuan-Da ZHANG; Wei-Guo LIANG; Su-Guo XU; Yang-Sheng ZHAO,Rock micro-structure always developed with changing of external circumstances. Toinvestigate the micro-structure the micro-structure development of glauberite under differentsolutionsserried of experiments were performed with cuboid glauberite specimens in size of4 mm× 4 mm× 9 mmthe micro-structure development of the specimens were tested andrecorded through a micro-CT system μCT225kVFCB. Through statistic analysissomecharacteristics of porosity and pore diameter of glauberite were discovered withconcentration and temperature changing of the solutions. The results show that the mineraldissolution of the specimens develops slowly from the outside to the insideand it is thetypical mutual acceleration of dissolution and seepage process. After 48 hoursthe porosity ofglauberite dissolved in fresh water at RT is almost as tenfold as that of original specimen …,Journal of China Coal Society,2014,3
Customized profile lens based linear response fast spinning on-axis optical scanners for 3D laser scanning microscopy,Zhenhua Lai; Yair J Mega; Xibin Yang; Jianfeng Zhu; Zetong Gu; Daxi Xiong; Charles A DiMarzio,Previously; we presented an on-axis linear-response linear-motion optical scanner. Whilethe linear design is highly desired for engineering consideration; it was still lacking thescanning speed required for imaging applications. We here present a customized profilelens (CPL); tailored for high speed performance while maintaining the advantages of alinear response on-axis optical scanner. The device was built and tested experimentally onan optical bench. The test results demonstrate precise linear response and fast scanningspeed; and revealed video frame rate scanning ability. The implementation of the CPLs inlaser scanning systems is promising in improving the current 3D laser scanning microscopysystems by reducing the size; error; and complexity of the system; as well as other systemsunitizing high speed laser scanning technique.,Three-Dimensional and Multidimensional Microscopy: Image Acquisition and Processing XXI,2014,3
Expression of granulocyte colony-stimulating factor receptor in rectal cancer,Xiao-Dong Yang; Ping Huang; Feng Wang; Ze-Kuan Xu,AIM: To evaluate whether granulocyte colony-stimulating factor receptor (G-CSFR)expression before preoperative irradiation can predict the radiosensitivity of rectal cancer.METHODS: The expression of G-CSFR was examined; using immunohistochemistry; inbiopsy specimens from 126 patients with locally advanced rectal adenocarcinoma beforepreoperative irradiation. Radiosensitivity was then evaluated according to the Rectal CancerRegression Grading. Endoscopic inspection was used to detect the tumor area in eachpatient. General patient information; such as age; gender; lymph node status; tumor size anddegree of differentiation was recorded. A statistical analysis was then performed to evaluatethe correlation between clinical or pathological parameters and G-CSFR expression intumors. RESULTS: According to endoscopic inspection; the tumor area ranged from 4 to …,World Journal of Gastroenterology: WJG,2014,3
A Broadband Printed Quadrifilar Helical Antenna with a Novel Compact Broadband Feeding Network,Xiao-Qiang Yang; Ze-Hong Yan; Ping Xu; Tian-Ling Zhang; Zhanfa Zhu; Tuanjie Liang,Abstract: A broadband printed quadrifilar helical antenna (BPQHA) integrated with abroadband feeding network for satellite communications is proposed. Using a multiple armtechnique; satisfactory antenna characteristics over a wide bandwidth are realized. To feedthe antenna; a novel compact broadband feeding network composed of a frequencyindependent 180 out-of-phase power divider; two Wilkinson power dividers and twobroadband 90 phase shifters is designed. The measured boresight gain remains positivewith a reflection coefficient lower than-11 dB over a bandwidth of approximately 26%. Theaxial ratio is below 1.7 dB and the half-power beamwidth is more than 120 over the samebandwidth. Details of the proposed antenna design are provided and discussed; as well asthe experimental results. Citation: X.-Q. Yang; Z.-H. Yan; P. Xu; T.-L. Zhang; Z. Zhu; and T …,Progress In Electromagnetics Research,2014,3
Preparation of Sm 0.2 Ce 0.8 O 1.9-x buffer by reel-to-reel slot-die coating,Ming Lei; Xifeng Pan; Xisheng Yang; Wentao Wang; Feng Yang; Yong Zhao,Bi-axially textured Sm 0.2 Ce 0.8 O 1.9-x (SCO) single buffer tape with the length of 110 cmand the thickness of 150 nm; has been prepared on textured NiW (200) alloy substrate byusing the polymer assisted chemical solution deposition (PACSD) method combined withslot-die coating technique for REBCO coated conductors. Smooth; uniform and crack-freeSCO tape with sharp (200) c-axis orientation and high texture has been obtained bycontrolling the viscosity of solution; the moving speed of tape and the release rate ofsolution; bi-lateral texture of tape has been more than 90%; the FWHM obtained from ω-scanand φ-scan on the center of the tape are 5.08° and 4.64°; respectively.,International Journal of Modern Physics B,2013,3
Multi-objective optimization methods of plate solid oxide fuel cell's temperature system,Xin Liu; Xiao Hong Hao; Xin Hua Yang; Ai Min An; Hao Chen Zhang,Abstract: Article Preview Article Preview The working environment of Solid Oxide Fuel Cells(SOFC) includes high temperature and speedy chemical reaction. The improved controlstructure and optimization method for the simplified temperature system of SOFC areproposed in this paper. It designs a real-time cascade PID controller for dynamic reactivetemperatures of SOFC which vary significantly as the external disturbance or operatingmode changes. Considering the efficiency of fuel utility and output power areincommensurable multiple goals; some fuzzy-based rules are introduced to solve thesecomplex multi-objective optimization problems. The experiments' result shows that thecontrollers have good robustness and quickness when the system is under the mode withexternal disturbances.,Advanced Materials Research,2013,3
宽温型镍基甲烷化催化剂制备及催化性能,田大勇， 杨霞， 秦绍东， 孙守理， 孙琦,摘要: 利用挤条成型及等体积浸渍法制备了负载型镍基甲烷化催化剂. 通过H2 rTPR等表征方法对催化剂进行表征; 研究了MgO 对镍基催化剂中NiO 与载体Al2O3相互作用力的影响. 催化剂活性评价表明; 助剂MgO 在甲烷化反应中对CH4选择性具有明显的促进作用. 考察了催化剂的高温稳定性; 并对镍基催化剂的低温失活现象进行了研究.,工业催化,2013,3
Effect of magnetic field on the wave dispersion relation in three-dimensional dusty plasma crystals,Xue-Feng Yang; Zheng-Xiong Wang,Three-dimensional plasma crystals under microgravity condition are investigated by takinginto account an external magnetic field. The wave dispersion relations of dust lattice modesin the body centered cubic (bcc) and the face centered cubic (fcc) plasma crystals areobtained explicitly when the magnetic field is perpendicular to the wave motion. The wavedispersion relations of dust lattice modes in the bcc and fcc plasma crystals are calculatednumerically when the magnetic field is in an arbitrary direction. The numerical results showthat one longitudinal mode and two transverse modes are coupled due to the Lorentz forcein the magnetic field. Moreover; three wave modes; ie; the high frequency phonon mode; thelow frequency phonon mode; and the optical mode; are obtained. The optical mode and atleast one phonon mode are hybrid modes. When the magnetic field is neither parallel nor …,Physics of Plasmas,2012,3
ALAE: Accelerating local alignment with affine gap exactly in biosequence databases,Xiaochun Yang; Honglei Liu; Bin Wang,Abstract We study the problem of local alignment; which is finding pairs of similarsubsequences with gaps. The problem exists in biosequence databases. BLAST is a typicalsoftware for finding local alignment based on heuristic; but could miss results. Using theSmith-Waterman algorithm; we can find all local alignments in O (mn) time; where m and nare lengths of a query and a text; respectively. A recent exact approach BWT-SW improvesthe complexity of the Smith-Waterman algorithm under constraints; but still much slower thanBLAST. This paper takes on the challenge of designing an accurate and efficient algorithmfor evaluating local-alignment searches; especially for long queries. In this paper; wepropose an efficient software called ALAE to speed up BWT-SW using a compressed suffixarray. ALAE utilizes a family of filtering techniques to prune meaningless calculations and …,Proceedings of the VLDB Endowment,2012,3
Heavy metal pollution assessment of farmland soil influenced by e-waste disassembling,Cui Zhou; Xiang-tian Yang; Xian-biao He,An assessment was carried on the heavy metal concentrations in the farmland soil around e-waste disassembling areas; and the different evaluation methods and standards wereemployed to evaluate the soil quality. The results showed that Cd and Cu were the mainpollutants in the farmland soil by the assessment of single factor pollution indexes based onthe level of National Standard (GB15612-1995). Comprehensive pollution index indicatedthat over 50% of the soil was above the level of moderate pollution; while about 20% soilswere heavily polluted. However; based on the level natural background; the soil was mainlypolluted by Cd and Pb by the assessment of single factor pollution indexes. Comprehensivepollution index indicated that over 80% of the soils were above the level of moderatepollution; and about 40% soils were heavily polluted.,Acta Agriculturae Zhejiangensis,2012,3
Surface sediment distribution and sedimentary environment on the East China continental shelf,Xu-Hui YANG; Xiu-Li FENG; Zhong-Xin CHU; De-Jiang FAN; Ai-Guo DONG,The distribution and grain-size characteristics of 209 surface sediment samples on the EastChina Continental Shelf were studied for understanding the provenance and hydrodynamicconditions closely related to the fine sediment distribution pattern in the study area. Thesurface sediment samples were classified into seven types in grain size: sand; silty sand;muddy sand; sandy silt; sandy mud; silt and mud; plus gravel; occasionally. The surfacesediment samples mainly belong ed to coarse sandy sediment; which were mainly locatedin north central region of the East China Sea; shoal waters along northern coast of Jiangsuprovince; and northern region of the Northern Yellow Sea. The sandy sediments werecharacterized by a mean size of 2~ 4Φ; poor in sorting with sorting coefficient 2; stronglypositive skewness ranging from 2 to 2.80; and wide to very wide kurtosis ranging from …,Periodical of Ocean University of China,2012,3
Regulation of ribonucleotide reductase during iron limitation,Alexandra Seguin; Diane McVey Ward; Jerry Kaplan,DNA replication and repair are essential processes in which the limiting step is the availabilityof deoxynucleotides. The size of deoxynucleotide pools is controlled by the activity of the ribonucleotidereductase (RNR) that catalyzes the conversion of all four nucleotides to the corresponding deoxynucleotidesand provides the monomeric precursors for DNA synthetic processes. RNR is an important targetfor cell growth control and is therefore tightly regulated through the cell cycle and by DNAdamage. RNR is regulated at both transcriptional and posttranslational levels. During DNA damageor S phase; the activity of RNR is also regulated by selective movement of RNR subunits fromnucleus to cytosol. In this issue of Molecular Cell; Sanvisens et al. (2011) demonstrate a newmechanism of RNR regulation based on selective movement of RNR subunits in response toiron limitation … RNRs are multimeric enzymes for which metals are essential cofactors …,Molecular cell,2011,3
Efficient on-line/off-line proxy re-signature schemes,Xiao-Dong Yang; Cai-Fen Wang,*,Dianzi Yu Xinxi Xuebao(Journal of Electronics and Information Technology),2011,3
A statistical approach to interactive image segmentation,Ahmed A Hussein; Xiaochun Yang,Interactive segmentation aims to separate an object of interest from the rest of an image.This problem in computer vision is known to be hard; and very few fully automatic visionsystems exist which have been shown to be accurate and robust under all sorts ofchallenging inputs. Most of the previous works require users to trace the whole boundary ofthe object. When the object has a complicated boundary; or the object is in a highly texturedregion; users have to put great effort into iteratively correcting the selection. To solve thisproblem; most researchers rely on computing cost function for the purpose of control on theboundary of the region. Minimizing cost function yields a large; sparse system of linearequations. This paper presents a new interactive algorithm by introducing new equations forimage foreground background separation. In addition we propose Edge stopping function …,Multimedia Technology (ICMT); 2011 International Conference on,2011,3
Heavy metals pollution assessment of edible parts of crops grown around e-waste disassembling areas [J],Cui ZHOU; Xiang-tian YANG; Xian-biao HE; Ling-yao AN; Ling LIU,A survey on the heavy metal contents in edible parts was conducted for crops grown arounde-waste disassembling areas. The results showed that the heavy metal concentrations in theedible parts were 0.08-10.56 mg· kg-1 for Cr; 0.02-0.76 mg· kg-1 for Cd; and 0.05-1.51 mg·kg-1 for Pb. The assessment of single factor pollution indexes indicated that the Pb pollutionwas most severe; with the pollution rate being 56.52%; while pollution rate of Cr and Cdwere 39.13% and 34.78%; respectively. Comprehensive pollution index indicated that65.22% of the crops were polluted; with the medium and heavy pollution grade being13.04% and 30.43%; respectively. The absorption and accumulation of heavy metals hadinterspecific and intraspecific differences. Among the crops; the levels of heavy metalpollution could be ranked in the order from low to high as follows: cereals beans potatoes …,Acta Agriculturae Zhejiangensis,2011,3
A Functional Variant in MTRR Intron-1 Significantly Increases the Risk of Congenital Heart Disease in Han Chinese Population,Jian-Yuan Zhao; Xue-Yan Yang; Xiao-Hong Gong; Zhuo-Ya Gu; Wen-Yuan Duan; Jue Wang; Zhi-Zhou Ye; Hong-Bing Shen; Kai-Hu Shi; Jia Hou; Guo-Ying Huang; Li Jin; Bin Qiao; Hong-Yan Wang,Background—Homocysteine is known to be an independent risk factor for congenital heartdisease (CHD). Methionine synthase reductase (MTRR) is essential for the adequateremethylation of homocysteine; which is the dominant pathway for homocysteine removalduring early embryonic development. Methods and Results—Herein; we report that the c.56+ 781 A> C (rs326119) variant of intron-1 of MTRR significantly increases the CHD risk inthe Han Chinese population. In three independent case-control studies involving a total of2;340 CHD patients and 2;270 healthy control participants from different geographic areas;we observed that patients carrying the heterozygous AC and homozygous CC genotype hada 1.40-fold (OR= 1.40; P= 2.32× 10-7) and 1.84-fold (OR= 1.84; P= 2.3× 10-11) increasedrisk; respectively; of developing CHD than those carrying the wild-type AA genotype. Both …,Circulation,2011,3
Microstructure and properties of TA1 pure titanium processed by 8 ECAP passes using a 120 die at room temperature,XC Zhao; XY Wang; XR Yang; C Wang; XY Liu,*,Rare Met. Mater. Eng,2011,3
Synthesis and optical properties of purified translucent; orthorhombic boron nitride films,Xuxin Yang; Hongdong Li; Yingai Li; Xianyi Lv; Guangtian Zou,Abstract Large-area (> 1 cm 2) freestanding translucent orthorhombic boron nitride (oBN)films have been synthesized by magnetron sputtering at a low radio-frequency power of 120W. The structural characterizations were performed by means of X-ray diffraction; Fouriertransform infrared spectroscopy; and X-ray photoelectron spectroscopy. It is demonstratedthat oBN is a direct band gap semiconductor (E g∼ 3.43 eV). Excited by ultraviolet laser(wavelength at 325 nm); the oBN films emit strong white light; which can be seen by thenaked eyes in the dark. In the photoluminescence spectrum; besides the ultraviolet near-band-edge radiative recombination emission; there are three visible emission bands(centered at 400; 538; and 700 nm) arising from the defect-related deep-level centers ofoBN; which are mixed to form the white light emission. The hardness and elastic modulus …,Journal of Crystal Growth,2010,3
An algorithm for matching strings with wildcards,Zhengjia Yun; Yinan Li; Xiaochun Yang,*,Jisuanji Kexue yu Tansuo,2010,3
